"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Gibbs",5,"2-2-2-2-2",200,1000,0.0929260701824391,0.0585970191707531,0.168042436048038,0.238060812318311,0.0867371756637121,0.0491314266251721,0.0363588826657548,189.823
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.10961842169159,0.0808663620716826,0.136723867178266,0.219674685807962,0.0721882313460866,0.00941232754684634,0.0301451626022092,21.76704
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.107341615297691,0.0764496586137809,0.146054888137121,0.20563193648597,0.0779494448659555,0.0554983308011139,0.0315312173782332,275.7418
"Product MAP",5,"3-3-3-3-3",200,1000,0.118942616361094,0.0642707274194594,0.138202731428489,0.189260479855907,0.0774667543857411,0.0177170677814672,0.0325391938225094,14.9644
"Gibbs",5,"3-3-3-3-3",200,1000,0.115010154401962,0.0620574966140058,0.140499947956897,0.174501216904585,0.219541642211184,0.153733476477075,0.0677293834113631,190.898
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.138484988970219,0.0859301590424646,0.129244670724412,0.200190110300005,0.0822602823712169,0.0218726366598132,0.0359666449517222,16.40432
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.126414783417114,0.0807651951507082,0.131854481708574,0.195219247628214,0.254457215270117,0.197127912924311,0.0783322875504425,278.1662
"Product MAP",5,"2-2-2-2-2",400,1000,0.0876412126887506,0.0450462401531814,0.114105508717277,0.165872746923328,0.0555128096482135,0.00612231803368434,0.0235259459935655,30.75624
"Gibbs",5,"2-2-2-2-2",400,1000,0.088513739002108,0.0455667971875852,0.121213988246206,0.164649900657371,0.0582028393931126,0.0284401862063442,0.024221149721673,236.4648
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.0999620375564639,0.061318717493317,0.100257381287186,0.164284064048059,0.0516337330496698,0.00425068987574124,0.021632930118958,37.22056
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.10380995795633,0.0618781089799903,0.108021186490285,0.16307442539516,0.0525790298362705,0.0333690440619545,0.0213037154732046,329.6932
"Product MAP",5,"3-3-3-3-3",400,1000,0.10049926499807,0.0488043983152152,0.0992238756871954,0.134904271834791,0.0594440012508784,0.014134247865454,0.0241861683033418,35.51204
"Gibbs",5,"3-3-3-3-3",400,1000,0.102186643797564,0.0487584480044648,0.1008490580781,0.13615851353908,0.0784768341905648,0.0612319651419558,0.0254135471582792,235.9448
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.118577057995065,0.0662493633804715,0.0917093812764703,0.134464264454481,0.0559393016087585,0.0177046083061797,0.0248312470228041,37.33248
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.118355142135849,0.0659615850364942,0.0946095610111213,0.148158734010298,0.0866037604875269,0.0661626547832408,0.0332096035275022,331.2878
"Product MAP",5,"2-2-2-2-2",100,1500,0.1023947828394,0.0833331154534675,0.211185945436931,0.317252717366056,0.108405528158201,0.0116769460342509,0.0471369997785921,14.36056
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1500,0.117998427145174,0.113590114951822,0.200080180960321,0.330201727235653,0.106416390601855,0.011209425625222,0.0449595068422927,16.00892
"Product MAP",5,"3-3-3-3-3",100,1500,0.129999763429774,0.0880104931529654,0.204006314203946,0.313165398751862,0.114170795140167,0.0171380732662101,0.0468705504104721,9.82344
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1500,0.156016295592696,0.118013706124981,0.200438307273351,0.349910145577328,0.119130004114375,0.0195581581730357,0.0480867342690953,11.52744
"Product MAP",5,"2-2-2-2-2",200,1500,0.0911330858265336,0.0589723560677089,0.153160563706433,0.227331762839411,0.078086322668257,0.00938489069614292,0.0335615389043175,23.0042
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1500,0.103243754399276,0.0803961117591468,0.138278640277251,0.236534152984199,0.0867042764921863,0.00930192926810866,0.0360144420052147,26.76224
"Product MAP",5,"3-3-3-3-3",200,1500,0.109597705544583,0.0628084156770448,0.137711694044556,0.195683223308683,0.0823933595705591,0.0163370644568922,0.0341277881320764,19.1058
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1500,0.127187149806636,0.0837383499576113,0.130261962393721,0.206477649582719,0.0827976347722039,0.0187444193613269,0.0349128543452126,20.05304
"Product MAP",5,"2-2-2-2-2",400,1500,0.0774009628150158,0.0444143058335561,0.113825214472493,0.16304158116356,0.0530094685802252,0.00581667584039049,0.022289426395838,46.9994
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1500,0.0897014154164247,0.0608070377523759,0.100605433104104,0.163052008313718,0.0511016901225901,0.00527875141806787,0.0216181042122734,58.4662
"Product MAP",5,"3-3-3-3-3",400,1500,0.0850611042276673,0.0468944271575953,0.0989541508190205,0.138915036716705,0.0588455603116992,0.011596472871525,0.0251538977446626,47.63652
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1500,0.102720071548092,0.0642451968456785,0.0933024369350138,0.141288171334681,0.0584651243597061,0.0140396632430398,0.0250184101207521,49.62532
"Product MAP",5,"2-2-2-2-2",100,2000,0.100751428621188,0.0832551438103417,0.209419081577237,0.30137860663053,0.109808962172762,0.0123248756953387,0.0470822402862629,17.429
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,2000,0.11530631363672,0.113759488403143,0.199392929157413,0.320130311264879,0.100460667854656,0.012445371409708,0.0425660558114615,19.18108
"Product MAP",5,"3-3-3-3-3",100,2000,0.128869214803956,0.0878395471250103,0.203153282393202,0.308023310997395,0.116748686932022,0.0167452966252375,0.0473744557789877,12.0274
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,2000,0.152578325531495,0.117488465060986,0.199906696651432,0.329145284816132,0.121860972502451,0.0185959803093017,0.0498774987531314,13.99448
"Product MAP",5,"2-2-2-2-2",200,2000,0.0880299687902085,0.0585817743473901,0.15461726198398,0.221446457941993,0.0756703128601487,0.00965319770077001,0.0314657198631434,26.91416
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,2000,0.099049274649182,0.0796036992537531,0.137905743347039,0.230598314810313,0.0817602416791002,0.00952812071993293,0.0343140374300947,32.87108
"Product MAP",5,"3-3-3-3-3",200,2000,0.105269566072248,0.062159543979513,0.138821053475377,0.198364252979219,0.0793560053049708,0.0153177470325586,0.0318291195112899,23.37464
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,2000,0.122490950386148,0.0826922093409858,0.13030216900918,0.20581756781513,0.0820845594667082,0.0174810397502287,0.0334537638360285,24.11412
"Product MAP",5,"2-2-2-2-2",400,2000,0.070328547303436,0.0437855120851442,0.113616984695448,0.163712225087051,0.0523495462463534,0.00621821054908225,0.0219716892925364,59.9494
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,2000,0.0824536309231532,0.0604262845867235,0.102014705671136,0.169678995958477,0.0548164259807774,0.00519996544574748,0.0232128821278279,73.88752
"Product MAP",5,"3-3-3-3-3",400,2000,0.0767771548407075,0.0461481771753031,0.0991237356397871,0.129812741252905,0.0557836797495915,0.0115600788476528,0.0234207426567005,58.38212
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,2000,0.0933211087085602,0.0629327579549051,0.0941487235380313,0.138600632447602,0.0570939351484405,0.0124752714735807,0.024603727304634,60.73148
