"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","component_profile_hamming_accuracy","component_profile_exact_accuracy","mean_component_ari","min_component_ari","mean_true_component_probability","component_brier_score","component_log_loss","mean_component_entropy","seconds"
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.108193608014155,0.0767821657031583,0.146777957001424,0.221694523108618,0.0813335810264876,0.0558555109889364,0.0334938996556138,1,1,1,1,0.99998672,1.99144000000001e-06,1.38544016750927e-05,9.6807852929695e-05,517.95356
"Product MAP",5,"3-3-3-3-3",200,1000,0.117833964987728,0.0645604585071322,0.139195800687508,0.1892924939958,0.0814437203756506,0.0167476844381874,0.0325430272838824,0.97844,0.8984,0.932770476106585,0.883141926570379,0.976776437966632,0.03748247922056,0.0844104290211319,0.0156822696464747,13.65836
"Gibbs",5,"3-3-3-3-3",200,1000,0.114542277126855,0.061977963734641,0.144186664786838,0.181614392492203,0.218979389979609,0.156316307608618,0.0702266035640565,0.95176,0.7828,0.870911093117552,0.750565519643261,0.86126744,0.0953701952,0.182872663698042,0.284291194416824,447.7662
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.137739094139353,0.0855185709055237,0.130005645517555,0.216326787048871,0.0910786054268994,0.0206072225325298,0.0390240345732139,0.97188,0.7556,0.913775470885185,0.816976968785909,0.971786690776956,0.0515380924583687,0.137483062017608,0.00905119463338714,15.45208
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.127561662827029,0.0814146264668689,0.131826992181482,0.198482071674991,0.25902653810284,0.205512671343522,0.0807948379337723,0.93762,0.5294,0.842059789491055,0.563317755786192,0.81631076,0.1245670596,0.237379351215987,0.373154911003499,552.67228
"Product MAP",5,"2-2-2-2-2",400,1000,0.0871927143990697,0.0454397711938723,0.114263206669149,0.162406340987372,0.0565372333953401,0.00612330453241556,0.0239737360345283,1,1,1,1,0.99999999999983,2.58609558826044e-21,1.70259376133612e-13,4.88902767120303e-12,28.734
"Gibbs",5,"2-2-2-2-2",400,1000,0.0890478140086917,0.0459476750509893,0.12109552435957,0.165152139378635,0.0570776897995643,0.0284131581658451,0.0238888293810637,1,1,1,1,0.99999974,4.92e-09,2.61238960531839e-07,2.20334870782473e-06,465.52728
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.100004598017166,0.0612486276572357,0.101267308152139,0.16534659354281,0.053803529334479,0.00422487280546627,0.0228563923614126,1,1,1,1,1,1.82633392409683e-28,6.1596283629275e-17,2.50783203276442e-15,35.78604
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.10414763714054,0.0618332452260269,0.107955215199948,0.16180240179352,0.0564804065972757,0.0328861531213904,0.0229025546678988,1,1,1,1,0.99999802,3.84359999999996e-07,2.08587279584186e-06,1.19434043037612e-05,548.0596
"Product MAP",5,"3-3-3-3-3",400,1000,0.098053638433395,0.0487183924775502,0.0982947099220009,0.129105851986961,0.0570829307419235,0.0141870646362342,0.0239874666571192,0.9836,0.9202,0.949037085867315,0.916962725095433,0.980681074877221,0.0270535383739361,0.0571949409863415,0.0199249485955219,32.8562
"Gibbs",5,"3-3-3-3-3",400,1000,0.102007020556229,0.0487898904683929,0.1016643260521,0.129270452466378,0.0857311338743591,0.0586292341636048,0.0303361049643226,0.97872,0.8967,0.934344965927153,0.902699132812408,0.95570736,0.03388675852,0.0656499817990998,0.091822937106507,435.92404
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.116900892682445,0.0663593110115463,0.0924312328914049,0.141631006018168,0.0593317204605167,0.0173824152192792,0.026744107861482,0.97797,0.7983,0.931335098574488,0.880824798206561,0.976833463548938,0.0390428466006943,0.09066430283695,0.0132596165137248,34.94128
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.118108266575972,0.0661601325525149,0.0949084141941457,0.142455984479049,0.0845481652289438,0.0648664650807661,0.0317817868830289,0.97508,0.7744,0.922468949444978,0.876920613209076,0.94881734,0.03919108458,0.0763528832771759,0.106159834197821,874.8014
