"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","component_profile_hamming_accuracy","component_profile_exact_accuracy","mean_component_ari","min_component_ari","mean_true_component_probability","component_brier_score","component_log_loss","mean_component_entropy","seconds"
"Gibbs",5,"2-2-2-2-2",200,1000,0.0891600985072231,0.0557658720202976,0.149045082876848,0.198377475328531,0.0683700676037767,0.0439182044441548,0.0335408455974039,1,1,1,1,0.99999792,2.112e-08,2.08530833158896e-06,2.0007339509544e-05,189.5056
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.104921335803625,0.0801670873323101,0.137921049805252,0.227841195930159,0.0707230318884692,0.0102041093083732,0.0352314386586541,1,1,1,1,1,9.96785935958635e-38,0,6.96693751822176e-20,45.651
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.106275635654535,0.0739913995364814,0.142010264795577,0.208162502349555,0.0714767026804805,0.0505773600911466,0.0348112891284828,1,1,1,1,0.9999912,2.02799999999999e-07,8.85171817246498e-06,7.95200965487107e-05,262.10264
"Product MAP",5,"3-3-3-3-3",200,1000,0.107766823878284,0.0637988356443778,0.136486757561999,0.196514332467944,0.0717357505560196,0.0144570360696954,0.0334864103206139,0.98124,0.9098,0.942720374322045,0.900898931554914,0.979966784996792,0.033241849202605,0.0819818537383036,0.0122708718950179,23.26624
"Gibbs",5,"3-3-3-3-3",200,1000,0.10631534211048,0.0611133521113813,0.138798818445227,0.18327095210764,0.156746555601502,0.163643285158907,0.0471731782313994,0.94796,0.7672,0.869616279052321,0.728640617324532,0.8395444,0.10268359384,0.205034438590314,0.339531182551524,189.6586
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.128797053434299,0.0850857407424119,0.130345653286251,0.214047519552636,0.0792320084614771,0.019286512408265,0.0380845044387166,0.97532,0.7806,0.925295770466368,0.852162331415812,0.975141422828954,0.0468184506414412,0.142465990863316,0.00562094507635505,32.56584
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.124131684512546,0.0804283465023896,0.130902652585757,0.203639886347417,0.197863046936078,0.230405838048719,0.0553232018257986,0.91856,0.4242,0.800900555779817,0.529429385638385,0.7595695,0.16102686092,0.30876667696222,0.482418368824623,261.55796
"Product MAP",5,"2-2-2-2-2",400,1000,0.0836844110072537,0.0434914286523529,0.101619067280158,0.149868643423928,0.0484370880676546,0.004940577877458,0.024486840782545,1,1,1,1,0.999999999999989,3.10934443091921e-24,1.13691633892857e-14,3.94766243634278e-13,46.98124
"Gibbs",5,"2-2-2-2-2",400,1000,0.0862331992851071,0.0441297845521529,0.10899931935658,0.149857595364534,0.0493198815493169,0.0269743797377399,0.0243873010246479,1,1,1,1,0.99999978,3.31999999999996e-09,2.20834906386324e-07,1.93807798324442e-06,233.63628
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.0973359473325805,0.0591592808398489,0.0965330557425501,0.157701390285389,0.0490357978862076,0.00338326348178506,0.0247386101350664,1,1,1,1,1,1.48857770039547e-26,3.28839178113495e-16,1.22375872317463e-14,54.61784
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.102037947699704,0.0598742815566258,0.104896210734577,0.153551231637909,0.0502268685921062,0.030409582423225,0.0246737394261567,1,1,1,1,0.99999891,3.61400000000014e-08,1.09922731170538e-06,9.20054232544129e-06,312.06476
"Product MAP",5,"3-3-3-3-3",400,1000,0.0943866268782481,0.0479655738839731,0.0959083513647413,0.133819399057252,0.0532225458173968,0.0114898226359507,0.0240623175924287,0.98408,0.923,0.951310052365793,0.923610238961042,0.98128839051675,0.0265103777106948,0.054373224975125,0.0191260638507125,46.96576
"Gibbs",5,"3-3-3-3-3",400,1000,0.0969306611212463,0.0481907153556917,0.0992521534889803,0.136233964880773,0.0640937300177186,0.0426210265321645,0.0256413271690885,0.98132,0.9101,0.942991506711191,0.913404263457327,0.95963314,0.02970253276,0.0583617054241322,0.0868858911779583,233.75124
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.11340732180988,0.0650799564325585,0.0914810177329106,0.142261470468809,0.0554609748909905,0.0143672055813884,0.0265386263445638,0.97837,0.8016,0.934022484372446,0.89104702586227,0.977478782039876,0.0392892070700766,0.0961184063731437,0.0108353691093475,167.25188
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.114546582809203,0.0651007761807326,0.0946632413627938,0.143711485236038,0.0650705370369617,0.0497892235697719,0.0263841942930195,0.97754,0.7945,0.931525749724981,0.89261690673148,0.95053367,0.03586261784,0.070463122584577,0.106858654712606,311.57724
