"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,500,0.161921227870777,0.0886022559784485,0.133213943393812,0.198164971811241,0.248670935463763,0.299017031607319,0.0721902320020523,161.23668
"Product MAP",5,"2-2-2-2-2",400,500,0.104309792630359,0.0458524658733139,0.0997624208704607,0.155290261424462,0.0529579170198236,0.00915201407344965,0.0268208346974889,16.03864
"Gibbs",5,"2-2-2-2-2",400,500,0.108923039789549,0.047619919326964,0.109447906161771,0.156495853710236,0.0540399132232774,0.0310916939122051,0.0266693830969762,153.1138
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.11678910841278,0.0615681735604809,0.0937966986828409,0.151660005594217,0.0464761289781022,0.0094969106248175,0.0235023345395463,18.04608
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.124747098273193,0.064746845805291,0.105977457126648,0.149708521582389,0.048873958902347,0.036864029910081,0.0233568628283641,196.61856
"Product MAP",5,"3-3-3-3-3",400,500,0.121925834499961,0.0522812141267706,0.0956154998277288,0.134642431049244,0.0566206919016657,0.0143633488035858,0.0264782747877403,16.79324
"Gibbs",5,"3-3-3-3-3",400,500,0.125229771425678,0.0537220119200584,0.10073703181004,0.137538937442404,0.070804463236501,0.0549703669637023,0.0275426643090627,154.03464
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.144643867713725,0.0710153860358951,0.0881429747402049,0.140875066795864,0.0551062785067057,0.0154731998679395,0.027080146000916,18.19972
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,500,0.149428408975894,0.0738723150317304,0.0951255735254767,0.142240795089907,0.0801023608139017,0.0807217448107899,0.0277520599535109,196.445
"Product MAP",5,"2-2-2-2-2",100,1000,0.0971269832789178,0.0818146404555379,0.221762278760223,0.346617625185051,0.095516340837139,0.00594981459593762,0.0474153010458508,19.33116
"Gibbs",5,"2-2-2-2-2",100,1000,0.0945865661422825,0.0761731824750542,0.205207685969101,0.296860356117667,0.0975530981655145,0.0805447679584121,0.0462938322452387,168.0714
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.114470873959699,0.113005007586776,0.222279745785883,0.369157875537137,0.106453253668288,0.0078841516384107,0.05278222684171,41.76404
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.11834327331154,0.10328149400938,0.20480071064744,0.324141882910651,0.107930677039165,0.0911199671472596,0.0518942624359659,240.74384
"Product MAP",5,"3-3-3-3-3",100,1000,0.124705380374444,0.0886519121979229,0.206461223837129,0.303659383911023,0.109394049879371,0.0145029481069409,0.0487055244947775,10.81324
"Gibbs",5,"3-3-3-3-3",100,1000,0.114868962951803,0.0836158506016814,0.222861295719359,0.273440374731162,0.267926528743338,0.343122200542694,0.0706372322516651,168.37092
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.148633528273663,0.118864412007007,0.206916359467187,0.351638618400915,0.108684830572016,0.0165982160095539,0.0488459300722796,15.26308
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.138022011274581,0.111245851128772,0.220238534045428,0.298495493278386,0.279152117770777,0.369206414917714,0.0679331794560102,239.9892
"Product MAP",5,"2-2-2-2-2",200,1000,0.0901008502226991,0.0587093169797148,0.143381383613193,0.216681136023995,0.0688659051174406,0.00680475392941185,0.0344869580089569,24.324
"Gibbs",5,"2-2-2-2-2",200,1000,0.0893110792364153,0.055715712650456,0.14804639076703,0.203522490436487,0.0696711072060469,0.0443828173838786,0.0341847945436404,185.09852
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.105141204540101,0.0797433628456477,0.137625947178543,0.227398408855127,0.067570326143847,0.0102760647878499,0.0336036510571032,28.22
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.107030173881645,0.0736922725982997,0.140285099795379,0.203999630501092,0.0691818540587597,0.0505781045944325,0.0333984224919951,256.9536
"Product MAP",5,"3-3-3-3-3",200,1000,0.108774150998975,0.0633420913881911,0.135944430598197,0.202026942501676,0.0759492518817276,0.0148814478379414,0.0334493283296258,15.56232
"Gibbs",5,"3-3-3-3-3",200,1000,0.108086577788851,0.0606734963561787,0.13897822782416,0.195077446527257,0.159277064212113,0.162984208011447,0.0466519265796319,185.50152
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.128612405636783,0.0850781103558454,0.130221488368155,0.209303258748583,0.0806301299513133,0.0198183492033713,0.0383456146171236,17.49672
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",200,1000,0.125060769713551,0.0805107642400327,0.130717627626246,0.192314258070371,0.198202679778548,0.231798337753598,0.0558749848422865,258.22736
"Product MAP",5,"2-2-2-2-2",400,1000,0.0846551194657256,0.04323390990382,0.101118415500623,0.156197414737595,0.0529518178216192,0.00503564916288477,0.0267536116348786,31.5822
"Gibbs",5,"2-2-2-2-2",400,1000,0.0871335740824958,0.0438997315098038,0.10895212170279,0.155894626252802,0.0533891344600981,0.0269243921591165,0.0265111462923664,228.9504
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.0978176257439556,0.0590301320533899,0.0951738527659039,0.15637284672465,0.047089106131412,0.00323786986881198,0.023748149481721,36.49812
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.102673286958382,0.059761846592212,0.103418630994232,0.153224447641885,0.0485460548445443,0.0303870206398104,0.0237001767393848,306.22132
"Product MAP",5,"3-3-3-3-3",400,1000,0.0960431587662128,0.0478444726125125,0.0967163707644307,0.135144835465536,0.0540744727490062,0.0116839953789636,0.0240497885794749,32.64356
"Gibbs",5,"3-3-3-3-3",400,1000,0.099079273759131,0.0481305306496284,0.100685839400364,0.135970208690499,0.0628570156670429,0.0437765146707242,0.0244773240844587,229.14532
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.115063697677901,0.0651990613042591,0.0909659789761826,0.139158508523489,0.0547367911784291,0.0145234355002674,0.0251401486454972,35.28792
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",400,1000,0.116350168585773,0.06530763882474,0.0942587446601379,0.139954225469424,0.0640748277273577,0.0509917118998543,0.024691918660414,307.60528
"Product MAP",5,"2-2-2-2-2",100,1500,0.0931793098410043,0.0816022017572887,0.218627828888566,0.338265470511268,0.0973443111874638,0.0059581307035739,0.0484699450693417,25.75748
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1500,0.110148725986815,0.112761716430607,0.222247290855478,0.365444143904103,0.101743288126604,0.00814772197100302,0.0504568767678648,36.73728
"Product MAP",5,"3-3-3-3-3",100,1500,0.11820955872313,0.0871617636604353,0.206366430507417,0.313146694627205,0.101718818480629,0.014164601498159,0.0463376227602377,14.50108
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1500,0.13971012274752,0.116953374233326,0.207147948521928,0.357503689871019,0.113456141880264,0.0159742193620692,0.0495719097087844,19.46668
"Product MAP",5,"2-2-2-2-2",200,1500,0.0809985666372135,0.0577445216538395,0.143860158361652,0.218601876201034,0.0659779683483409,0.00587872873570301,0.0330404564396527,32.08872
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1500,0.0974888720006831,0.079733110603078,0.138508101088151,0.237585682141905,0.076990219136705,0.00905800649036062,0.0383731768829881,34.73436
"Product MAP",5,"3-3-3-3-3",200,1500,0.0994864916620385,0.0620682470879523,0.135787105768379,0.20484553089379,0.0777105521918275,0.0149030235122337,0.0363729527162621,19.82484
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,1500,0.117704718486269,0.0834830633169971,0.130612793115631,0.217871886662768,0.0786128475088588,0.0169121827582187,0.0351724616730763,21.71688
"Product MAP",5,"2-2-2-2-2",400,1500,0.0736356454432245,0.0421173621995247,0.102040715698657,0.153836237613775,0.0491677846434814,0.00465261473414227,0.0248627071099022,47.42388
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1500,0.0873898397212814,0.0584739223713957,0.0969388051595816,0.154458496009439,0.0441923409662623,0.00451898462273592,0.0222706907860867,56.55128
"Product MAP",5,"3-3-3-3-3",400,1500,0.0813218172942107,0.0462425193695132,0.0970519992706826,0.137391326669921,0.054975311191029,0.0102317338641389,0.0255090276959766,46.07528
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,1500,0.0986982120234459,0.0633924179255566,0.0927864967109121,0.136819254551197,0.0496992241201536,0.0130334809407379,0.0241272964839717,51.92636
"Product MAP",5,"2-2-2-2-2",100,2000,0.0897370783748742,0.0815901274637815,0.216710089398612,0.333759831642947,0.10440457879957,0.00656479047725111,0.0519132894879556,34.32524
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,2000,0.107135929010038,0.112491134624596,0.221752279531546,0.370123699277354,0.0944753325547842,0.0081361983846964,0.047157895673729,32.63564
"Product MAP",5,"3-3-3-3-3",100,2000,0.112711701668517,0.0870536661029665,0.204186868781846,0.318795045472307,0.101006017832366,0.0129320227452339,0.046254776482731,17.44184
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,2000,0.133988302181967,0.116539221641434,0.205139654609136,0.350032588187358,0.10852628898748,0.0149355672928342,0.0481067560045009,22.76932
"Product MAP",5,"2-2-2-2-2",200,2000,0.0769887111707161,0.0575147793946187,0.142573619243218,0.220387585828302,0.0658181680498807,0.00582983554530551,0.0329912676940096,38.89248
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,2000,0.0919659833984864,0.0790888050309353,0.138840192810611,0.226584468314465,0.0677816966621039,0.00823788699040209,0.0338528680201538,40.56348
"Product MAP",5,"3-3-3-3-3",200,2000,0.094629310302923,0.0615534349581361,0.136090713618756,0.199630385046711,0.073925607352287,0.013710917391304,0.0328463185293305,24.4288
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",200,2000,0.112028860493674,0.0823822397007554,0.130668381897812,0.21080015993865,0.0763406269670545,0.015801035281759,0.0339148753048502,26.5152
"Product MAP",5,"2-2-2-2-2",400,2000,0.0664406356255878,0.0417540583117554,0.102744237218524,0.153797145224757,0.0473479063670221,0.00457796226260016,0.0239345948351625,64.59044
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,2000,0.0794342825868859,0.0585287959567878,0.0990918646671167,0.157283098718469,0.0443304612429528,0.00460051095217103,0.022344261088592,78.84788
"Product MAP",5,"3-3-3-3-3",400,2000,0.0722587796786738,0.0455541495748889,0.0975851627306903,0.132431371370879,0.0516644876662894,0.0100812875242205,0.0227698118890774,59.67664
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",400,2000,0.0885651240995974,0.0623052648983918,0.0937981146001642,0.144735177557466,0.055162788677493,0.0107613661358897,0.0252935163886211,64.97888
