"method","H","effective_df","mean_heldout_loglik_per_response","sd_heldout_loglik_per_response","se_heldout_loglik_per_response","mean_train_loglik_per_response","sd_train_loglik_per_response","se_train_loglik_per_response","mean_heldout_bic","sd_heldout_bic","se_heldout_bic","mean_training_bic","sd_training_bic","se_training_bic","best_H","selected_by_one_se","one_se_threshold","mean_fit_seconds","selected_by_heldout_bic","selected_by_training_bic"
"mixture_probit_G3",7,4910,-0.306568181204099,0.00257330428152121,0.00148569791964309,-0.17015875511954,0.00219596334701978,0.00126784002953242,61174.8127049878,233.450033681381,134.782439788273,65950.6215246756,246.83589113143,142.510768190392,FALSE,FALSE,-0.278874368436001,5.679,FALSE,FALSE
"mixture_probit_G3",8,5540,-0.314832081535577,0.00174945307745438,0.00101004720520291,-0.159621284455546,0.00117795568679679,0.000680093032865579,67760.1372005973,181.946060676518,105.04660710958,71779.6698587739,164.180728382171,94.7897877271951,FALSE,FALSE,-0.278874368436001,7.50033333333334,FALSE,FALSE
"mixture_probit_G3",9,6170,-0.330985966016002,0.0046964779234463,0.00271151279334486,-0.149127593768576,0.00252393182288674,0.00145719271735992,74665.5459316429,48.117793117347,27.780820809111,77612.6142639299,259.968649696937,150.09296988339,FALSE,FALSE,-0.278874368436001,8.82166666666667,FALSE,FALSE
"mixture_probit_G3",10,6800,-0.352003223546691,0.00752147660850952,0.00434252654462645,-0.140752942922573,0.00223292240546577,0.00128917835187521,81772.2018071085,456.824915804766,263.74798811241,83617.7491270892,239.458933006146,138.251679430959,FALSE,FALSE,-0.278874368436001,10.1886666666667,FALSE,FALSE
"ordinary_probit_factor",1,1122,-0.299607894730473,0.00316920762194568,0.00182974287364815,-0.269466947541675,0.00185413649740125,0.00107048620588892,23314.758925626,211.71124068948,122.231541802541,33824.9237182876,227.632588406983,131.423736193103,FALSE,FALSE,-0.283362177868444,2.77433333333333,TRUE,TRUE
"ordinary_probit_factor",2,1744,-0.284909479860174,0.00390357701045921,0.00225373123779106,-0.235457755451891,0.0018693249890128,0.00107925528560943,28887.1504218411,221.064200389122,127.631475602849,37659.8376219978,156.153124157781,90.155048267296,FALSE,FALSE,-0.283362177868444,3.107,FALSE,FALSE
"ordinary_probit_factor",3,2366,-0.279247600722885,0.00712665666777035,0.00411457714555926,-0.214988237292009,0.00288935750467089,0.0016681713331068,34827.8917395227,373.17554464021,215.453001153011,42597.0170034895,307.707010959837,177.654725609197,TRUE,TRUE,-0.283362177868444,3.33966666666667,FALSE,FALSE
"ordinary_probit_factor",4,2988,-0.2844861780179,0.00407633957057788,0.00235347574838147,-0.198929562705746,0.00362621131976965,0.00209359408160748,41210.7271436005,260.941855749215,150.65485065965,47892.4199502051,363.4365092683,209.830166459391,FALSE,FALSE,-0.283362177868444,3.569,FALSE,FALSE
"ordinary_probit_factor",5,3610,-0.295100806132501,0.00501578603469897,0.00289586541733102,-0.18586494669503,0.00187527069770161,0.00108268804212144,47812.9339147438,317.838744321154,183.504284592711,53430.7453975121,202.01625063636,116.634136685581,FALSE,FALSE,-0.283362177868444,3.54533333333333,FALSE,FALSE
"ordinary_probit_factor",6,4232,-0.309095198407551,0.00911721198283092,0.00526382479254632,-0.172115987373111,0.00245506375728909,0.00141743172114855,54553.1268581329,495.743660664123,286.217735933482,58914.1363479088,265.775979704029,153.445833426258,FALSE,FALSE,-0.283362177868444,3.593,FALSE,FALSE
"ordinary_probit_factor",7,4854,-0.323669133603124,0.00918215178625606,0.00530131780553494,-0.16046979885023,0.00214050850750233,0.00123582316300915,61315.983849527,502.621749112089,290.188802150425,64568.1516123102,229.530849169883,132.519697555555,FALSE,FALSE,-0.283362177868444,3.65166666666667,FALSE,FALSE
"ordinary_probit_factor",8,5476,-0.3425300450559,0.00762816599204486,0.00440412368893025,-0.149929322899563,0.00204602880168604,0.00118127527942316,68251.8037111594,368.375344170002,212.681604119372,70312.31393763,230.550306652607,133.108281607634,FALSE,FALSE,-0.283362177868444,3.85166666666666,FALSE,FALSE
"ordinary_probit_factor",9,6098,-0.358663735345821,0.00450597690883479,0.002601526981278,-0.140352852597999,0.00200671971176932,0.00115858016577815,75077.8279104246,241.628107305657,139.504052796701,76134.8155205314,228.103319703512,131.69551303387,FALSE,FALSE,-0.283362177868444,4.097,FALSE,FALSE
"ordinary_probit_factor",10,6720,-0.370081259711168,0.0130454880665519,0.00753181604693379,-0.13105861321215,0.00245541012768323,0.00141763169818884,81714.980442224,692.978682002064,400.091428596564,81980.3589554869,263.97112492476,152.403800033599,FALSE,FALSE,-0.283362177868444,4.02866666666667,FALSE,FALSE
