"model_id","accuracy","factor_1","factor_2","factor_3","group_factor_1","group_factor_2","group_factor_3","profile_id"
"gemini-2.0-flash-001",0.898,1.11861528315307,-0.767381868828478,0.45953544771703,3,1,2,"3-1-2"
"gemini-2.0-flash-lite-preview-02-05",0.884,1.04173402416799,-1.01247707477145,0.429816649012214,3,1,2,"3-1-2"
"gemini-2.5-flash-lite",0.868,0.799332726693906,-1.14504664018052,0.536749612029795,3,1,3,"3-1-3"
"gemini-2.5-flash-preview-04-17",0.926,1.14342269015437,1.38509223243925,-0.14373400152482,3,3,2,"3-3-2"
"gemini-2.5-pro-preview-03-25",0.894,1.01747369200666,-0.965724207702312,0.748448353685091,3,1,3,"3-1-3"
"gemini-3-pro-preview",0.924,1.31055205516195,-0.656631300518677,0.773049310798544,3,1,3,"3-1-3"
"gemma-1.1-2b-it",0.408,-0.978956121494022,-0.886540369929157,-1.6276365871678,1,1,1,"1-1-1"
"gemma-1.1-7b-it",0.598,-0.285661185003161,-0.430725104065292,-1.65310658176208,2,2,1,"2-2-1"
"gemma-2-27b-it",0.738,-0.250932248311163,0.474678283488615,0.237774003078839,2,2,2,"2-2-2"
"gemma-2-2b-it",0.412,-1.1841614223965,-0.98469186097992,0.104182944096454,1,1,2,"1-1-2"
"gemma-2-9b-it",0.452,-0.974516146528465,-0.827177331982269,-0.183569775106409,1,1,2,"1-1-2"
"gemma-2b-it",0.39,-0.999491124551676,-0.863840811556196,-1.9145465551498,1,1,1,"1-1-1"
"gemma-3-12b-it",0.802,-0.0701477697694976,0.227242462861607,1.19017836271584,2,2,3,"2-2-3"
"gemma-3-1b-it",0.314,-1.4490145384893,-0.88793688894794,-0.387910797539932,1,1,2,"1-1-2"
"gemma-3-27b-it",0.8,-0.100124762938719,0.396565575342682,1.02999728512307,2,2,3,"2-2-3"
"gemma-3-4b-it",0.388,-1.2677750533669,-0.904441352348156,0.181298642545017,1,1,2,"1-1-2"
"gemma-7b-it",0.52,-0.620103375766322,-0.289278062106108,-1.35138945816206,2,2,1,"2-2-1"
"glm-4.5-air-fp8",0.872,0.948492746983628,-1.14068869608515,0.101459874613132,3,1,2,"3-1-2"
"gpt-4.1-2025-04-14",0.892,1.22960022226549,-1.04601519297549,0.149450492965758,3,1,2,"3-1-2"
"gpt-4.1-mini-2025-04-14",0.94,0.994807268662544,1.5360743695261,0.00613741879594422,3,3,2,"3-3-2"
"gpt-4.1-nano-2025-04-14",0.902,0.785808882119722,1.58815313648701,-0.491754696590259,3,3,2,"3-3-2"
"gpt-4o-2024-08-06",0.926,0.942710691908827,1.55716006503203,-0.144562681591012,3,3,2,"3-3-2"
"gpt-4o-2024-11-20",0.874,1.11991182759832,-0.714177852456907,-0.546115665076397,3,1,2,"3-1-2"
"gpt-4o-mini-2024-07-18",0.85,0.950960592271803,-1.09499944687274,-0.655550559962251,3,1,2,"3-1-2"
"gpt-5-2025-08-07",0.922,1.31539141392551,-0.917359463371514,1.19890023077653,3,1,3,"3-1-3"
"gpt-5-mini-2025-08-07",0.956,0.883428770611984,1.43630329575918,1.13942397931296,3,3,3,"3-3-3"
"gpt-5-nano-2025-08-07",0.966,1.09363465186069,1.16234923573199,1.07811319288421,3,3,3,"3-3-3"
"gpt-5.1-2025-11-13",0.972,1.28622393276956,1.66136622743982,0.943641235958713,3,3,3,"3-3-3"
"gpt-5.2-2025-12-11",0.93,1.32614221922338,-0.55003195506664,0.854691758661223,3,1,3,"3-1-3"
"gpt-5.2-pro-2025-12-11",0.984,1.60007285525006,1.42448832931145,1.06103520520868,3,3,3,"3-3-3"
"gpt-5.3-chat-latest",0.954,0.881919587693716,1.33041660460638,0.812666761253708,3,3,3,"3-3-3"
"gpt-5.4-2026-03-05",0.926,1.35242965865462,-0.545998733302767,1.1130581216896,3,1,3,"3-1-3"
"gpt-5.4-mini-2026-03-17",0.912,0.921824674965855,-0.165241739479982,0.785155733161019,3,2,3,"3-2-3"
"gpt-5.4-nano-2026-03-17",0.896,0.582287531467244,1.2486493283007,0.058355341985935,3,3,2,"3-3-2"
"gpt-5.4-pro-2026-03-05",0.992,1.62391977314955,1.64435652914275,1.2146570067572,3,3,3,"3-3-3"
"gpt-oss-120b",0.896,0.906221779827946,-0.713435607089033,0.788142099083083,3,1,3,"3-1-3"
"gpt-oss-20b",0.778,0.343178107383248,-1.05587854733035,-0.408288790950212,2,1,2,"2-1-2"
"granite-3.3-8b-instruct",0.802,0.502454403433759,-1.4213096818612,-0.516290009451226,3,1,2,"3-1-2"
"granite-4.0-h-small",0.932,0.897896460969762,1.524238902774,0.0762932352080943,3,3,2,"3-3-2"
"granite-4.0-h-small-with-guardian",0.842,0.600147702459137,-1.02621679274003,0.178210582635406,3,1,2,"3-1-2"
"granite-4.0-micro",0.91,0.764040450622629,1.61145102420553,-0.1728276218769,3,3,2,"3-3-2"
"granite-4.0-micro-with-guardian",0.878,0.573777794164507,1.37609845844588,-0.12059257953054,3,3,2,"3-3-2"
"grok-3-beta",0.93,1.39327326515617,-0.741647374732995,1.0442030375451,3,1,3,"3-1-3"
"grok-3-mini-beta",0.978,1.39663906688382,1.3704276795055,1.0515032329607,3,3,3,"3-3-3"
"grok-4-0709",0.974,1.17778018740092,1.32567887202658,1.02153662900939,3,3,3,"3-3-3"
"kimi-k2-instruct",0.908,1.02707926016595,-0.960897453869495,0.883834471127763,3,1,3,"3-1-3"
"llama-2-13b-hf",0.336,-1.73077534591965,-0.735015981852326,1.28433906378272,1,1,3,"1-1-3"
"llama-2-70b-hf",0.392,-1.43735045876878,-0.776142437793841,0.833107156308547,1,1,3,"1-1-3"
"llama-2-7b-hf",0.376,-1.57884973814024,-0.906856018940219,1.02386635551844,1,1,3,"1-1-3"
"llama-3.1-405b-instruct-turbo",0.876,0.940973622374997,-1.21927766992693,0.0378001899015851,3,1,2,"3-1-2"
"llama-3.1-70b-instruct-turbo",0.884,0.873858565196686,-0.195727282251032,0.199153456295841,3,2,2,"3-2-2"
"llama-3.1-8b-instruct-turbo",0.82,0.392377553447271,-0.968302371786481,0.0954730884720066,2,1,2,"2-1-2"
"llama-4-maverick-17b-128e-instruct-fp8",0.946,1.18083293805532,1.33173492188095,0.15457261369391,3,3,2,"3-3-2"
"llama-4-scout-17b-16e-instruct",0.89,1.01315713045587,-1.02512997024202,0.46001692371908,3,1,2,"3-1-2"
"marin-8b-instruct",0.72,-0.0887263904271348,-1.12144130341905,-0.041900150253635,2,1,2,"2-1-2"
"mistral-7b-instruct-v0.3",0.652,0.0110632606490117,-0.791114659066113,-1.87011216463716,2,1,1,"2-1-1"
"mistral-7b-v0.1",0.334,-1.67579806807206,-0.980826898016076,1.06381278422773,1,1,3,"1-1-3"
"mistral-large-2411",0.926,1.00237771854804,1.03152169727041,0.0293694090985601,3,3,2,"3-3-2"
"mistral-small-2503",0.822,0.517189624361332,-1.06709604854556,-0.312522002410495,3,1,2,"3-1-2"
"mixtral-8x22b-instruct-v0.1",0.794,0.554129615163156,0.317612267853047,-1.43524816168955,3,2,1,"3-2-1"
"mixtral-8x7b-instruct-v0.1",0.648,-0.102958175799089,-1.04699532481569,-1.07903210156888,2,1,1,"2-1-1"
"nova-lite-v1:0",0.854,0.624275050486741,-0.227303327928331,-0.0473815325560876,3,2,2,"3-2-2"
"nova-micro-v1:0",0.832,0.527978475231275,-0.232567099020229,-0.19928158213936,3,2,2,"3-2-2"
"nova-premier-v1:0",0.862,0.820811867375302,-1.08722447847522,0.201223726677023,3,1,2,"3-1-2"
"nova-pro-v1:0",0.878,0.86933531216293,-0.00712315813558275,-0.311425926430564,3,2,2,"3-2-2"
"o3-2025-04-16",0.916,1.18218647942555,-0.931965243746621,1.18140223835994,3,1,3,"3-1-3"
"o4-mini-2025-04-16",0.96,1.15331665666608,1.369099271643,0.845868926401427,3,3,3,"3-3-3"
"olmo-2-0325-32b-instruct",0.846,0.511685471257288,-0.998671605163452,0.490029721945253,3,1,3,"3-1-3"
"olmo-2-1124-13b-instruct",0.804,0.296815534220735,-1.13495372768389,0.207103146886342,2,1,2,"2-1-2"
"olmo-2-1124-7b-instruct",0.772,0.178668651259457,-0.713836006515466,-0.152929444271677,2,1,2,"2-1-2"
"olmoe-1b-7b-0125-instruct",0.714,0.0180653856758986,-1.34348382305432,-0.480614455138886,2,1,2,"2-1-2"
"palmyra-fin",0.858,0.802465550307024,-0.666937355783348,-0.503300958544754,3,1,2,"3-1-2"
"palmyra-med",0.834,0.265082237623761,1.4613856671948,-0.246304708120659,2,3,2,"2-3-2"
"palmyra-x-004",0.926,0.961655472943034,0.895769843992625,0.200881280406429,3,3,2,"3-3-2"
"palmyra-x5",0.886,1.14759105517913,-1.11633917018364,0.166194020502705,3,1,2,"3-1-2"
"qwen-1.5-0.5b-chat",0.232,-1.60708127680367,-0.974105937644701,-3.0547940187429,1,1,1,"1-1-1"
"qwen-1.5-1.8b-chat",0.26,-1.71874591538021,-0.333695023090229,-0.764415151204811,1,2,1,"1-2-1"
"qwen-1.5-14b-chat",0.534,-0.606627002511407,-0.551687790602292,-1.16416179639625,2,1,1,"2-1-1"
"qwen-1.5-32b-chat",0.632,-0.353376484008577,0.299061768322983,-0.995466144786937,2,2,1,"2-2-1"
"qwen-1.5-4b-chat",0.38,-1.11770193759928,0.163854748818798,-1.9656428074403,1,2,1,"1-2-1"
"qwen-1.5-7b-chat",0.5,-0.696002238488919,-0.581621559946575,-1.32351327367571,1,1,1,"1-1-1"
"qwen-14b-chat",0.512,-0.508960192514642,-0.246741493783941,-2.10423295517543,2,2,1,"2-2-1"
"qwen-2-1.5b-instruct",0.438,-0.633734829562209,-1.00775392945117,-3.18434177544157,2,1,1,"2-1-1"
"qwen-2-72b-instruct",0.894,0.628356163551914,1.0474446918364,0.0395227168761337,3,3,2,"3-3-2"
"qwen-2-7b-instruct",0.726,0.10207185391269,1.09615749654824,-1.66887391903521,2,3,1,"2-3-1"
"qwen-2.5-0.5b-instruct",0.402,-0.70305622949588,-0.858112839414574,-3.78358218235537,1,1,1,"1-1-1"
"qwen-2.5-1.5b-instruct",0.616,-0.247769404420551,0.932328788654727,-2.09504258044766,2,3,1,"2-3-1"
"qwen-2.5-14b-instruct",0.91,0.821960489641356,1.33237224507206,-0.606295996996103,3,3,2,"3-3-2"
"qwen-2.5-32b-instruct",0.916,0.95050167041704,1.68867947953306,-0.621398772061238,3,3,2,"3-3-2"
"qwen-2.5-3b-instruct",0.788,0.187999356700384,1.13669986051452,-0.801733501623572,2,3,1,"2-3-1"
"qwen-2.5-72b-instruct",0.94,0.878850954831378,1.43916512754038,0.386634973703633,3,3,2,"3-3-2"
"qwen-2.5-7b-instruct",0.85,0.42274674222584,1.07286921256452,-0.462653717448573,2,3,2,"2-3-2"
"qwen-3-30b-instruct",0.888,0.818976732506474,0.0444092756660818,0.191970817262599,3,2,2,"3-2-2"
"qwen-3-4b-instruct",0.924,0.854450949298844,1.05047148625972,0.467741515028959,3,3,3,"3-3-3"
"qwen-3-80b-instruct",0.946,1.01905524571938,1.39614890159201,0.672586380861461,3,3,3,"3-3-3"
"qwen-7b-chat",0.364,-1.24271862648049,-0.607972855111677,-0.729899084479549,1,1,1,"1-1-1"
"qwen-8b-chat",0.268,-1.6756801047432,-1.08256494827389,-1.03931160786904,1,1,1,"1-1-1"
"qwen2.5-72b-instruct-turbo",0.872,0.782983891038254,-0.988244509201154,0.169985409109026,3,1,2,"3-1-2"
"qwen2.5-7b-instruct-turbo",0.812,0.526804641881942,-0.278457602410589,-0.622568726257532,3,2,2,"3-2-2"
"qwen3-235b-a22b-fp8-tput",0.878,0.79774826982861,-0.95671315222665,0.608398713169616,3,1,3,"3-1-3"
"qwen3-235b-a22b-instruct-2507-fp8",0.902,1.25293408370756,-1.10184561356929,0.543358575405218,3,1,3,"3-1-3"
"qwen3-next-80b-a3b-thinking",0.876,0.718729452262854,-1.06619209220641,0.609671262943997,3,1,3,"3-1-3"
"redpajama-incite-3b-chat",0.244,-2.22877205756388,-0.336975813026896,0.994354928119671,1,2,3,"1-2-3"
"redpajama-incite-3b-instruct",0.306,-2.04532365537098,-1.06849958933596,1.82660069416774,1,1,3,"1-1-3"
"redpajama-incite-7b-chat",0.208,-2.41401645917934,-1.04845662309847,0.746541097845989,1,1,3,"1-1-3"
"redpajama-incite-7b-instruct",0.292,-2.06038638910674,-1.04419243268348,1.39664760712172,1,1,3,"1-1-3"
