"method","H","fold","effective_df","n_heldout","n_train","heldout_loglik","train_loglik","heldout_loglik_per_response","train_loglik_per_response","heldout_bic","training_bic","fit_seconds"
"mixture_probit_G2",6,2,4262,20309,40691,-6080.06449352263,-7308.979613792,-0.299377837093044,-0.179621528440982,54434.1373403094,59853.8137954009,5.053
"mixture_probit_G2",6,3,4262,20495,40505,-6206.40668639478,-7220.8157470121,-0.302825405532802,-0.178269738230147,54725.6775975732,59657.9596470759,5.08499999999999
"mixture_probit_G2",7,1,4889,20196,40804,-6128.19107684457,-7010.54089903605,-0.303435882196701,-0.171810138688267,60722.2117509015,65925.3233432611,5.753
"mixture_probit_G2",7,2,4889,20309,40691,-6251.95781689633,-6833.80182751631,-0.307841736023257,-0.167943816261982,60997.023761223,65558.287132756,5.80200000000001
"mixture_probit_G2",7,3,4889,20495,40505,-6481.39594951863,-6789.93062461229,-0.316242788461509,-0.167631912717252,61500.4721418733,65448.1457025962,5.80999999999999
"mixture_probit_G2",8,1,5516,20196,40804,-6508.61112877219,-6544.89467225502,-0.322272288016052,-0.1603983597749,67698.6532369315,71650.5985822401,6.71900000000001
"mixture_probit_G2",8,2,5516,20309,40691,-6443.53880356057,-6507.3513944413,-0.317275040797704,-0.159921147045816,67599.2855087178,71560.2151765124,7.44800000000001
"mixture_probit_G2",8,3,5516,20495,40505,-6677.83381972579,-6387.99468029726,-0.325827461318653,-0.157708793489625,68118.16390034,71296.230114286,6.785
"mixture_probit_G2",9,1,6143,20196,40804,-7103.09019560496,-6225.07185016441,-0.351707773598978,-0.15256033354976,75103.2127527717,77667.5206306,8.533
"mixture_probit_G2",9,2,6143,20309,40691,-6887.59578729982,-5980.34430328712,-0.339140075203103,-0.146969705912539,74706.4992503625,77161.0299041104,8.437
"mixture_probit_G2",9,3,6143,20495,40505,-7041.10054861851,-5956.592119807,-0.343552112643011,-0.147058193304703,75069.5133761778,77085.3812936254,8.41500000000001
"mixture_probit_G2",10,1,6770,20196,40804,-7105.30555032973,-5837.65103659294,-0.351817466346293,-0.143065656224707,81323.244844396,83549.2466959982,9.672
"mixture_probit_G2",10,2,6770,20309,40691,-7057.23737439187,-5694.348256914,-0.347493100319655,-0.139941221815979,81264.8821987129,83243.8667212706,9.83800000000002
"mixture_probit_G2",10,3,6770,20495,40505,-7467.25526538531,-5580.99883057942,-0.364345219096624,-0.137785429714342,82146.6388277638,82986.1510154901,9.952
"mixture_probit_G3",1,1,1130,20196,40804,-5958.16533261511,-11140.316598507,-0.295017099059968,-0.273020208766468,23118.2916889263,34277.3181931406,2.84
"mixture_probit_G3",1,2,1130,20309,40691,-6127.76512601223,-10998.3798989917,-0.30172658062988,-0.270290233687835,23463.7961927069,33990.3111029184,2.624
"mixture_probit_G3",1,3,1130,20495,40505,-6164.00447220625,-10925.1949023029,-0.300756500229629,-0.269724599489024,23546.5768876329,33838.7639981648,2.535
"mixture_probit_G3",2,1,1760,20196,40804,-5632.06357096974,-9723.84659267695,-0.278870250097531,-0.238306209996004,28711.4292673422,38132.7954802061,3.116
"mixture_probit_G3",2,2,1760,20309,40691,-5774.37707655834,-9613.14967146339,-0.284326016867317,-0.236247565099491,29005.876326215,37906.5208444185,2.914
"mixture_probit_G3",2,3,1760,20495,40505,-5722.21994106912,-9591.29047425887,-0.279200777802836,-0.236792753345485,28917.6076521099,37854.7389845034,2.994
"mixture_probit_G3",3,1,2390,20196,40804,-5436.26186811584,-9024.08056820532,-0.269175176674383,-0.221156763263536,34565.166963341,43421.6807299884,3.494
"mixture_probit_G3",3,2,2390,20309,40691,-5678.6226516557,-8799.98830256623,-0.279611140462637,-0.21626375126112,35063.2237088255,42966.8683031809,3.341
"mixture_probit_G3",3,3,2390,20495,40505,-5699.18870369699,-8747.74383982977,-0.278077028723932,-0.215967012463394,35126.1450041168,42851.4295580719,3.466
"mixture_probit_G3",4,1,3020,20196,40804,-5507.11812653546,-8416.05095874862,-0.272683606978385,-0.206255537661715,40952.2205818869,48894.0388098005,4.26
"mixture_probit_G3",4,2,3020,20309,40691,-5846.30568452934,-8351.37060959223,-0.287867727831471,-0.205238765564676,41647.4460069887,48756.3031137896,4.249
"mixture_probit_G3",4,3,3020,20495,40505,-5832.97874110776,-8176.53731769725,-0.284604964191645,-0.201864888722312,41648.3249056896,48392.8003562336,3.91699999999999
"mixture_probit_G3",5,1,3650,20196,40804,-5790.8965833003,-7935.89331306849,-0.286734827852065,-0.194488121582896,47765.1185971233,54622.1408171658,4.475
"mixture_probit_G3",5,2,3650,20309,40691,-5927.65158198625,-7737.18821580547,-0.291873139100214,-0.190144951360386,48058.9940343183,54214.6085227728,4.37
"mixture_probit_G3",5,3,3650,20495,40505,-6165.04593081958,-7693.0798796226,-0.30080731548278,-0.189929141578141,48567.0591118644,54109.669322511,4.6
"mixture_probit_G3",6,1,4280,20196,40804,-6018.70058041707,-7450.26621355779,-0.298014487047785,-0.182586663404514,54466.0676930634,60339.3039168699,5.239
"mixture_probit_G3",6,2,4280,20309,40691,-6034.58105465439,-7287.71731619921,-0.297138266515062,-0.179098997719378,54521.7092120705,60002.3369201169,5.393
"mixture_probit_G3",6,3,4280,20495,40505,-6123.59819399275,-7226.12656930207,-0.298784981409746,-0.178400853457649,54738.763464962,59859.5465442966,5.429
"mixture_probit_G3",7,1,4910,20196,40804,-6149.10811295673,-7037.25152136652,-0.304471584123427,-0.172464746626961,60972.2238598494,66201.6918312129,5.98100000000001
"mixture_probit_G3",7,2,4910,20309,40691,-6210.34988632158,-6914.17511931644,-0.305792992580707,-0.169919026795027,61122.1031078207,65941.9227229081,5.015
"mixture_probit_G3",7,3,4910,20495,40505,-6341.97212178282,-6808.58638589332,-0.309439966908164,-0.168092491936633,61430.1111472934,65708.2500199058,6.041
"mixture_probit_G3",8,1,5540,20196,40804,-6320.60998559678,-6552.5220186162,-0.312963457397345,-0.160585286212533,67560.5687068361,71920.6501244377,7.67100000000001
"mixture_probit_G3",8,2,5540,20309,40691,-6426.39820696107,-6509.35188773095,-0.316431050616036,-0.159970310086529,67803.0559815156,71818.9464562938,7.053
"mixture_probit_G3",8,3,5540,20495,40505,-6458.01009148069,-6412.27595252221,-0.315101736593349,-0.158308257067577,67916.7869134403,71599.4129955902,7.777
"mixture_probit_G3",9,1,6170,20196,40804,-6777.14054274775,-6203.6013676552,-0.335568456265981,-0.152034147820194,74718.9709228447,77911.2261212413,8.834
"mixture_probit_G3",9,2,6170,20309,40691,-6726.46657389104,-6001.49169214079,-0.331206193012509,-0.147489412699142,74652.0489477914,77489.8962616702,8.82400000000001
"mixture_probit_G3",9,3,6170,20495,40505,-6685.12568353123,-5989.03773795285,-0.326183248769516,-0.147859220786393,74625.6179242926,77436.7204088782,8.807
"mixture_probit_G3",10,1,6800,20196,40804,-7018.57727279982,-5848.47397117988,-0.347523136898387,-0.143330898225171,81447.1854846555,83889.3886270161,10.119
"mixture_probit_G3",10,2,6800,20309,40691,-7063.46462093656,-5676.53141156297,-0.347799725291081,-0.139503364664495,81574.9012742983,83526.6458970712,10.238
"mixture_probit_G3",10,3,6800,20495,40505,-7392.27613919515,-5647.39204089054,-0.360686808450605,-0.139424565878053,82294.5186623717,83437.2128571803,10.209
"ordinary_probit_factor",1,1,1122,20196,40804,-5977.2579898259,-11082.3257925364,-0.295962467311641,-0.271599004816596,23077.171084596,34076.4042980411,2.582
"ordinary_probit_factor",1,2,1122,20309,40691,-6127.39051956755,-10928.3797718962,-0.301708135288175,-0.268569948438136,23383.6964244852,33765.4007509934,2.747
"ordinary_probit_factor",1,3,1122,20495,40505,-6172.1324072199,-10864.7326789437,-0.301153081591603,-0.268231889370293,23483.4092677967,33632.9661058283,2.994
"ordinary_probit_factor",2,1,1744,20196,40804,-5671.65309082532,-9646.6233512271,-0.280830515489469,-0.236413669033112,28631.9964695497,37808.4844309896,3.139
"ordinary_probit_factor",2,2,1744,20309,40691,-5861.38295748414,-9493.36399932221,-0.288610121497077,-0.233303777231383,29021.186977402,37497.129304668,3.065
"ordinary_probit_factor",2,3,1744,20495,40505,-5846.97351416352,-9585.74399279316,-0.285287802593975,-0.236655820091178,29008.2678185717,37673.8991303358,3.117
"ordinary_probit_factor",3,1,2366,20196,40804,-5473.54751170845,-8893.16318539114,-0.271021366196695,-0.21794831843425,34401.8204942708,42905.0491148848,3.394
"ordinary_probit_factor",3,2,2366,20309,40691,-5758.62802402787,-8742.1021820306,-0.283550545276866,-0.214841173282313,34985.1827875731,42596.3657689075,3.345
"ordinary_probit_factor",3,3,2366,20495,40505,-5803.58740479595,-8594.15729255905,-0.283170890695094,-0.212175220159463,35096.6719367242,42289.6361266761,3.28
"ordinary_probit_factor",4,1,2988,20196,40804,-5650.50496376135,-8277.41919666167,-0.27978337115079,-0.202858033444311,40921.7705813314,48277.0461529929,3.43
"ordinary_probit_factor",4,2,2988,20309,40691,-5821.91106991471,-8065.7788290348,-0.286666555217623,-0.198220216486073,41281.2545564303,47845.4791617385,3.497
"ordinary_probit_factor",4,3,2988,20495,40505,-5882.24141450994,-7927.25129875856,-0.287008607685286,-0.195710438186855,41429.1562930399,47554.7345358837,3.78
"ordinary_probit_factor",5,1,3610,20196,40804,-5890.23204433074,-7669.15565961276,-0.291653398907246,-0.187951074885128,47567.259925425,53664.0040944622,3.73
"ordinary_probit_factor",5,2,3610,20309,40691,-5946.35425725557,-7500.13247515484,-0.292794044869544,-0.184319197737948,47699.6466081957,53315.9465528012,3.434
"ordinary_probit_factor",5,3,3610,20495,40505,-6166.02270485153,-7506.57160504888,-0.300854974620714,-0.185324567462014,48171.8952106108,53312.2855452729,3.472
"ordinary_probit_factor",6,1,4232,20196,40804,-6092.0955111255,-7129.02114568667,-0.301648619089201,-0.174713781631376,54137.0220419693,59187.2200821771,3.589
"ordinary_probit_factor",6,2,4232,20309,40691,-6222.14409810106,-6990.71018176519,-0.306373730764738,-0.171799911080219,54420.7319669702,58898.8620648446,3.632
"ordinary_probit_factor",6,3,4232,20495,40505,-6543.30021383177,-6879.13708236043,-0.319263245368713,-0.169834269407738,55101.626565459,58656.3268967046,3.558
"ordinary_probit_factor",7,1,4854,20196,40804,-6336.76675154725,-6648.62507798415,-0.313763455711391,-0.162940522448391,60792.3997057676,64829.9129623392,3.605
"ordinary_probit_factor",7,2,4854,20309,40691,-6607.48888989997,-6477.02871654424,-0.325347820665713,-0.159175953320003,61360.9272276516,64473.2592332253,3.675
"ordinary_probit_factor",7,3,4854,20495,40505,-6802.21107023933,-6452.15975628694,-0.331896124432268,-0.159292920782297,61794.6246151618,64401.2826413662,3.675
"ordinary_probit_factor",8,1,5476,20196,40804,-6780.09282295992,-6178.3062689883,-0.33571463769855,-0.151414230687881,67845.0870315478,70492.7603599146,3.80799999999999
"ordinary_probit_factor",8,2,5476,20309,40691,-7123.78988643786,-6135.31811635457,-0.35077009633354,-0.150778258493391,68563.034897811,70391.5981316686,3.98399999999999
"ordinary_probit_factor",8,3,5476,20495,40505,-6990.95519627431,-5978.35489785302,-0.341105401135609,-0.147595479517418,68347.2892041195,70052.5833213069,3.763
"ordinary_probit_factor",9,1,6098,20196,40804,-7306.5991928153,-5802.22312583544,-0.361784471816959,-0.142197410200849,75064.1349542134,76344.079089176,4.068
"ordinary_probit_factor",9,2,6098,20309,40691,-7179.18832238116,-5722.99069448828,-0.353497873966279,-0.140645122864719,74843.3374467812,76168.7033867587,4.086
"ordinary_probit_factor",9,3,6098,20495,40505,-7392.72809091032,-5598.44008162506,-0.360708860254224,-0.13821602472843,75326.0113302792,75891.6640856596,4.137
"ordinary_probit_factor",10,1,6720,20196,40804,-7248.60170683296,-5435.15158151837,-0.358912740484896,-0.133201440582256,81114.1751652035,82213.4210161089,3.911
"ordinary_probit_factor",10,2,6720,20309,40691,-7451.60560909179,-5354.73511464212,-0.366911497813373,-0.131595072980318,81557.6776972861,82033.952325889,3.815
"ordinary_probit_factor",10,3,6720,20495,40505,-7878.67848941814,-5200.00460262235,-0.384419540835235,-0.128379326073876,82473.0884641826,81693.7035244628,4.36000000000001
