"model_id","accuracy","ordinary_F1","ordinary_F2","ordinary_F3","mixture_F1","mixture_F2","mixture_F3","group_factor_1","group_factor_2","group_factor_3","profile_id"
"gemini-2.5-flash-preview-04-17",0.926,1.43694740739768,1.49962245753364,0.70155939406631,1.14342269015437,1.38509223243925,-0.14373400152482,3,3,2,"3-3-2"
"gpt-4o-2024-08-06",0.926,1.13773817042223,1.75623591352306,-0.126476640467078,0.942710691908827,1.55716006503203,-0.144562681591012,3,3,2,"3-3-2"
"gpt-5.4-2026-03-05",0.926,2.06295253245656,-0.84006413299587,-0.980698425666459,1.35242965865462,-0.545998733302767,1.1130581216896,3,1,3,"3-1-3"
"mistral-large-2411",0.926,1.24788488915263,1.09921363238193,0.234894962707824,1.00237771854804,1.03152169727041,0.0293694090985601,3,3,2,"3-3-2"
"palmyra-x-004",0.926,1.27594373423314,1.00721532813354,0.0030417593179215,0.961655472943034,0.895769843992625,0.200881280406429,3,3,2,"3-3-2"
"gemini-3-pro-preview",0.924,1.99158879709151,-1.14174741670356,-0.195765871062366,1.31055205516195,-0.656631300518677,0.773049310798544,3,1,3,"3-1-3"
"qwen-3-4b-instruct",0.924,1.18920028738876,1.12264410126595,-0.589355875765179,0.854450949298844,1.05047148625972,0.467741515028959,3,3,3,"3-3-3"
"gpt-5-2025-08-07",0.922,2.11839859795807,-1.30450733361638,-1.46164469525764,1.31539141392551,-0.917359463371514,1.19890023077653,3,1,3,"3-1-3"
"o3-2025-04-16",0.916,1.93575946359179,-1.29735880137445,-1.4193850702448,1.18218647942555,-0.931965243746621,1.18140223835994,3,1,3,"3-1-3"
"qwen-2.5-32b-instruct",0.916,1.10553303996685,2.28122156179847,1.31945630928045,0.95050167041704,1.68867947953306,-0.621398772061238,3,3,2,"3-3-2"
"gpt-5.4-mini-2026-03-17",0.912,1.31247761530398,-0.158964951674048,-0.392468461921726,0.921824674965855,-0.165241739479982,0.785155733161019,3,2,3,"3-2-3"
"granite-4.0-micro",0.91,0.939670655985919,2.26496653120336,0.420912144760698,0.764040450622629,1.61145102420553,-0.1728276218769,3,3,2,"3-3-2"
"qwen-2.5-14b-instruct",0.91,0.83609362766578,1.90622800519912,1.05871477644786,0.821960489641356,1.33237224507206,-0.606295996996103,3,3,2,"3-3-2"
"claude-3-5-sonnet-20241022",0.908,1.52129698992852,-0.771992160869647,0.636404263437461,1.24960111515317,-0.683568616280581,0.0831954042781933,3,1,2,"3-1-2"
"claude-sonnet-4-5-20250929",0.908,1.79398342818708,-1.97394967723813,-0.272590913158926,1.23986999989267,-1.23656463808463,0.930675872939177,3,1,3,"3-1-3"
"kimi-k2-instruct",0.908,1.51544749547165,-1.15825873897809,-0.966190853383517,1.02707926016595,-0.960897453869495,0.883834471127763,3,1,3,"3-1-3"
"claude-3-5-sonnet-20240620",0.906,0.961658381132839,1.07154920158454,-1.36408489705949,0.549195541900057,0.968627732008242,0.801172192291198,3,3,3,"3-3-3"
"claude-opus-4-20250514-thinking-10k",0.906,1.66901199878248,-1.58484182264372,0.124006222370649,1.20559691485865,-0.974213657719855,0.712609909474302,3,1,3,"3-1-3"
"gpt-4.1-nano-2025-04-14",0.902,0.805507820732916,2.04922121851519,0.654813737323195,0.785808882119722,1.58815313648701,-0.491754696590259,3,3,2,"3-3-2"
"qwen3-235b-a22b-instruct-2507-fp8",0.902,1.52397401707734,-1.17432938277858,-0.23733512144313,1.25293408370756,-1.10184561356929,0.543358575405218,3,1,3,"3-1-3"
"gemini-2.0-flash-001",0.898,1.45090464993622,-0.929368394315034,-0.0171886163479749,1.11861528315307,-0.767381868828478,0.45953544771703,3,1,2,"3-1-2"
"claude-3-7-sonnet-20250219",0.896,1.22080573126135,-1.02915152117773,-0.0641637555739161,0.921176027191186,-0.919760463593159,0.609118779568847,3,1,3,"3-1-3"
"claude-sonnet-4-20250514",0.896,1.49128587524845,-1.95667882777517,0.297137079050035,1.04881482143689,-1.18322412425793,0.636379313045076,3,1,3,"3-1-3"
"deepseek-v3",0.896,1.49847081550762,-1.03671305531347,1.15574653351651,1.25429953756998,-0.864966028489488,-0.108480545783582,3,1,2,"3-1-2"
"gemini-1.5-flash-002",0.896,1.44122344714882,-1.12984187798405,1.18010266797318,1.29817402387961,-0.95318596138041,-0.222136381145723,3,1,2,"3-1-2"
"gpt-5.4-nano-2026-03-17",0.896,0.684560999296559,1.63779553289533,-0.388296649011281,0.582287531467244,1.2486493283007,0.058355341985935,3,3,2,"3-3-2"
"gpt-oss-120b",0.896,1.27950195185838,-0.57021788665524,-0.539078948493322,0.906221779827946,-0.713435607089033,0.788142099083083,3,1,3,"3-1-3"
"claude-sonnet-4-20250514-thinking-10k",0.894,1.4169945160737,-1.74570492196316,-0.968537020035327,0.903224866605644,-1.21371365979599,1.05659596728054,3,1,3,"3-1-3"
"gemini-1.5-pro-002",0.894,1.37572486397074,-0.774814684183154,0.784034358201696,1.23694843631557,-0.733587786603591,-0.104910390375113,3,1,2,"3-1-2"
"gemini-2.5-pro-preview-03-25",0.894,1.38910088609048,-0.967832473068334,-0.305881436720326,1.01747369200666,-0.965724207702312,0.748448353685091,3,1,3,"3-1-3"
"qwen-2-72b-instruct",0.894,0.770488255316075,1.22257227179329,-0.0862159843434127,0.628356163551914,1.0474446918364,0.0395227168761337,3,3,2,"3-3-2"
"gpt-4.1-2025-04-14",0.892,1.4179380220702,-1.27272162939155,0.324809719035745,1.22960022226549,-1.04601519297549,0.149450492965758,3,1,2,"3-1-2"
"llama-4-scout-17b-16e-instruct",0.89,1.22566255485952,-0.965658060030731,-0.172571701745684,1.01315713045587,-1.02512997024202,0.46001692371908,3,1,2,"3-1-2"
"qwen-3-30b-instruct",0.888,0.927290513512322,0.232645271363373,-0.133971827500043,0.818976732506474,0.0444092756660818,0.191970817262599,3,2,2,"3-2-2"
"palmyra-x5",0.886,1.35899090504731,-1.61395907361176,0.50937577090163,1.14759105517913,-1.11633917018364,0.166194020502705,3,1,2,"3-1-2"
"gemini-2.0-flash-lite-preview-02-05",0.884,1.27185839839893,-1.04356807030231,0.164440718490421,1.04173402416799,-1.01247707477145,0.429816649012214,3,1,2,"3-1-2"
"llama-3.1-70b-instruct-turbo",0.884,0.998405817114258,-0.00238189557551834,-0.0128834267125008,0.873858565196686,-0.195727282251032,0.199153456295841,3,2,2,"3-2-2"
"granite-4.0-micro-with-guardian",0.878,0.61575604155138,1.67789692105534,0.354123100966584,0.573777794164507,1.37609845844588,-0.12059257953054,3,3,2,"3-3-2"
"nova-pro-v1:0",0.878,0.916670559490504,0.193910105879444,1.18103732123247,0.86933531216293,-0.00712315813558275,-0.311425926430564,3,2,2,"3-2-2"
"qwen3-235b-a22b-fp8-tput",0.878,1.02860972310602,-0.758879869432141,-0.467666063756228,0.79774826982861,-0.95671315222665,0.608398713169616,3,1,3,"3-1-3"
"llama-3.1-405b-instruct-turbo",0.876,1.01708451658679,-1.49268568404164,0.487102827364594,0.940973622374997,-1.21927766992693,0.0378001899015851,3,1,2,"3-1-2"
"qwen3-next-80b-a3b-thinking",0.876,1.04362015087591,-2.33000193485323,-0.300532060784678,0.718729452262854,-1.06619209220641,0.609671262943997,3,1,3,"3-1-3"
"gpt-4o-2024-11-20",0.874,1.06472194671838,-0.326082884970557,1.31184591885281,1.11991182759832,-0.714177852456907,-0.546115665076397,3,1,2,"3-1-2"
"glm-4.5-air-fp8",0.872,1.09664097277155,-1.33081735544424,0.404428345196457,0.948492746983628,-1.14068869608515,0.101459874613132,3,1,2,"3-1-2"
"qwen2.5-72b-instruct-turbo",0.872,0.868717165714637,-0.559197422827806,-0.0489244215528941,0.782983891038254,-0.988244509201154,0.169985409109026,3,1,2,"3-1-2"
"claude-haiku-4-5-20251001",0.868,0.854811455273729,-1.29063455180832,0.388087232954858,0.726583137369366,-0.876179683977523,0.277859220457805,3,1,2,"3-1-2"
"gemini-2.5-flash-lite",0.868,1.00458533969409,-1.18500805970968,-0.327797219518994,0.799332726693906,-1.14504664018052,0.536749612029795,3,1,3,"3-1-3"
"claude-3-5-haiku-20241022",0.862,0.776747655367652,-0.710828298073185,-0.075846155275789,0.803232449288222,-0.970854308019556,-0.0687095058671349,3,1,2,"3-1-2"
"nova-premier-v1:0",0.862,0.944082390006003,-1.24578162546199,0.238135946091418,0.820811867375302,-1.08722447847522,0.201223726677023,3,1,2,"3-1-2"
"palmyra-fin",0.858,0.65700285119744,-0.283105495058058,1.18044366019512,0.802465550307024,-0.666937355783348,-0.503300958544754,3,1,2,"3-1-2"
"nova-lite-v1:0",0.854,0.630231396882654,-0.00855844320843678,0.334203895328967,0.624275050486741,-0.227303327928331,-0.0473815325560876,3,2,2,"3-2-2"
"gpt-4o-mini-2024-07-18",0.85,0.757678279904214,-0.721735533358703,0.994142940866923,0.950960592271803,-1.09499944687274,-0.655550559962251,3,1,2,"3-1-2"
"qwen-2.5-7b-instruct",0.85,0.277088318619763,1.63441385091867,0.762409605792245,0.42274674222584,1.07286921256452,-0.462653717448573,2,3,2,"2-3-2"
"deepseek-r1-0528",0.848,0.742194376018999,-1.82571412310375,-0.344549431300378,0.50430087529104,-1.11340701654993,0.741765660838028,3,1,3,"3-1-3"
"olmo-2-0325-32b-instruct",0.846,0.663041351005252,-1.65868637748482,-0.286931882719878,0.511685471257288,-0.998671605163452,0.490029721945253,3,1,3,"3-1-3"
"granite-4.0-h-small-with-guardian",0.842,0.632947625826611,-0.856854038509601,0.575844353305425,0.600147702459137,-1.02621679274003,0.178210582635406,3,1,2,"3-1-2"
"palmyra-med",0.834,0.166687203554854,2.1317085312111,0.0844364233883607,0.265082237623761,1.4613856671948,-0.246304708120659,2,3,2,"2-3-2"
"nova-micro-v1:0",0.832,0.415938368189118,0.16490654248255,0.65558826864833,0.527978475231275,-0.232567099020229,-0.19928158213936,3,2,2,"3-2-2"
"mistral-small-2503",0.822,0.341043082279973,-0.620188419676219,0.775806123990362,0.517189624361332,-1.06709604854556,-0.312522002410495,3,1,2,"3-1-2"
"llama-3.1-8b-instruct-turbo",0.82,0.299213223010244,-0.719359803347938,0.0654155686392175,0.392377553447271,-0.968302371786481,0.0954730884720066,2,1,2,"2-1-2"
"qwen2.5-7b-instruct-turbo",0.812,0.302539893440396,0.325871793243746,1.18771612635086,0.526804641881942,-0.278457602410589,-0.622568726257532,3,2,2,"3-2-2"
"olmo-2-1124-13b-instruct",0.804,0.298579252002814,-2.12838411693322,0.267668356322102,0.296815534220735,-1.13495372768389,0.207103146886342,2,1,2,"2-1-2"
"gemma-3-12b-it",0.802,0.329156223664859,0.284173633529443,-3.1917019860677,-0.0701477697694976,0.227242462861607,1.19017836271584,2,2,3,"2-2-3"
"granite-3.3-8b-instruct",0.802,0.247767030902955,-0.955028689494964,0.900153918464678,0.502454403433759,-1.4213096818612,-0.516290009451226,3,1,2,"3-1-2"
"gemma-3-27b-it",0.8,0.208523380384911,0.544843155294453,-2.99556866360518,-0.100124762938719,0.396565575342682,1.02999728512307,2,2,3,"2-2-3"
"mixtral-8x22b-instruct-v0.1",0.794,0.0879506020576733,0.958993333376292,1.75245640754842,0.554129615163156,0.317612267853047,-1.43524816168955,3,2,1,"3-2-1"
"qwen-2.5-3b-instruct",0.788,-0.104794369434025,2.09267624179773,1.33149524781866,0.187999356700384,1.13669986051452,-0.801733501623572,2,3,1,"2-3-1"
"gpt-oss-20b",0.778,0.0800655808275529,-1.3969801585289,1.00746089675178,0.343178107383248,-1.05587854733035,-0.408288790950212,2,1,2,"2-1-2"
"olmo-2-1124-7b-instruct",0.772,0.0197052067359054,-1.1766271532634,0.678411672180549,0.178668651259457,-0.713836006515466,-0.152929444271677,2,1,2,"2-1-2"
"gemma-2-27b-it",0.738,-0.411187047501374,0.75933933799454,-1.44681334213402,-0.250932248311163,0.474678283488615,0.237774003078839,2,2,2,"2-2-2"
"qwen-2-7b-instruct",0.726,-0.441265299866185,2.00503232592239,2.22982724547325,0.10207185391269,1.09615749654824,-1.66887391903521,2,3,1,"2-3-1"
"marin-8b-instruct",0.72,-0.387823320602537,-0.749721987858929,0.468245977040429,-0.0887263904271348,-1.12144130341905,-0.041900150253635,2,1,2,"2-1-2"
"olmoe-1b-7b-0125-instruct",0.714,-0.302900899296627,-2.05712237684012,1.38940492438785,0.0180653856758986,-1.34348382305432,-0.480614455138886,2,1,2,"2-1-2"
"mistral-7b-instruct-v0.3",0.652,-0.687599242459316,-0.434770506205338,2.33850159990723,0.0110632606490117,-0.791114659066113,-1.87011216463716,2,1,1,"2-1-1"
"mixtral-8x7b-instruct-v0.1",0.648,-0.679179535693567,-0.0709644226099078,1.36647562442876,-0.102958175799089,-1.04699532481569,-1.07903210156888,2,1,1,"2-1-1"
"qwen-1.5-32b-chat",0.632,-0.949471538449124,0.990695709689553,0.083604735121804,-0.353376484008577,0.299061768322983,-0.995466144786937,2,2,1,"2-2-1"
"qwen-2.5-1.5b-instruct",0.616,-1.03902772967579,2.05845316266833,2.47762540031735,-0.247769404420551,0.932328788654727,-2.09504258044766,2,3,1,"2-3-1"
"gemma-1.1-7b-it",0.598,-1.03502178735039,-0.281082163308148,1.85679129132642,-0.285661185003161,-0.430725104065292,-1.65310658176208,2,2,1,"2-2-1"
"qwen-1.5-14b-chat",0.534,-1.3239726744093,-0.0243931591999156,0.438418131143345,-0.606627002511407,-0.551687790602292,-1.16416179639625,2,1,1,"2-1-1"
"gemma-7b-it",0.52,-1.39553081710685,-0.12059717926146,1.8514811649633,-0.620103375766322,-0.289278062106108,-1.35138945816206,2,2,1,"2-2-1"
"qwen-14b-chat",0.512,-1.41341183584319,0.612185721274696,2.11740410796409,-0.508960192514642,-0.246741493783941,-2.10423295517543,2,2,1,"2-2-1"
"qwen-1.5-7b-chat",0.5,-1.46195598877399,-0.214096209004504,0.743100711563604,-0.696002238488919,-0.581621559946575,-1.32351327367571,1,1,1,"1-1-1"
"gemma-2-9b-it",0.452,-1.63178256510175,-2.95544871349502,0.0136411983246061,-0.974516146528465,-0.827177331982269,-0.183569775106409,1,1,2,"1-1-2"
"qwen-2-1.5b-instruct",0.438,-1.77051908523243,0.162069595580966,2.92065864480283,-0.633734829562209,-1.00775392945117,-3.18434177544157,2,1,1,"2-1-1"
"gemma-2-2b-it",0.412,-1.88493284535611,-2.96809429054045,-0.494838596798771,-1.1841614223965,-0.98469186097992,0.104182944096454,1,1,2,"1-1-2"
"gemma-1.1-2b-it",0.408,-1.93615304666565,-1.41414460238021,1.73655290575124,-0.978956121494022,-0.886540369929157,-1.6276365871678,1,1,1,"1-1-1"
"qwen-2.5-0.5b-instruct",0.402,-1.92380701549488,-0.227105620921821,3.2299383478528,-0.70305622949588,-0.858112839414574,-3.78358218235537,1,1,1,"1-1-1"
"llama-2-70b-hf",0.392,-2.15501962549929,-0.13773814237571,-2.77914467452569,-1.43735045876878,-0.776142437793841,0.833107156308547,1,1,3,"1-1-3"
"gemma-2b-it",0.39,-2.02112077515821,-1.62314317388603,2.26551682309377,-0.999491124551676,-0.863840811556196,-1.9145465551498,1,1,1,"1-1-1"
"gemma-3-4b-it",0.388,-2.00961839049391,-4.00647387801332,-0.626777312029354,-1.2677750533669,-0.904441352348156,0.181298642545017,1,1,2,"1-1-2"
"qwen-1.5-4b-chat",0.38,-2.17943756542404,1.59853695908759,1.02023545502381,-1.11770193759928,0.163854748818798,-1.9656428074403,1,2,1,"1-2-1"
"llama-2-7b-hf",0.376,-2.2792144380636,-0.677300735593961,-3.1954986251301,-1.57884973814024,-0.906856018940219,1.02386635551844,1,1,3,"1-1-3"
"qwen-7b-chat",0.364,-2.1148019879292,-0.138134368915058,0.780471618287962,-1.24271862648049,-0.607972855111677,-0.729899084479549,1,1,1,"1-1-1"
"falcon-40b-instruct",0.336,-2.34370888690378,1.38520401687333,1.53582737238442,-1.23246881049217,0.0873498339937549,-1.59559709784564,1,2,1,"1-2-1"
"llama-2-13b-hf",0.336,-2.49348203480549,-0.0243162260113125,-4.03248526356646,-1.73077534591965,-0.735015981852326,1.28433906378272,1,1,3,"1-1-3"
"mistral-7b-v0.1",0.334,-2.4849132873333,-0.37351239289175,-3.36952102071637,-1.67579806807206,-0.980826898016076,1.06381278422773,1,1,3,"1-1-3"
"gemma-3-1b-it",0.314,-2.4254042693682,-4.36357722543709,0.370111484673695,-1.4490145384893,-0.88793688894794,-0.387910797539932,1,1,2,"1-1-2"
"redpajama-incite-3b-instruct",0.306,-2.78960902083255,-1.07177377662871,-4.28119601836301,-2.04532365537098,-1.06849958933596,1.82660069416774,1,1,3,"1-1-3"
"redpajama-incite-7b-instruct",0.292,-2.85012639857,-0.631997095901902,-3.70822159123035,-2.06038638910674,-1.04419243268348,1.39664760712172,1,1,3,"1-1-3"
"falcon-7b-instruct",0.286,-2.50592519570862,0.608533981797601,0.117304025843499,-1.50225718162545,-0.426235491180668,-0.613961395242484,1,2,2,"1-2-2"
"qwen-8b-chat",0.268,-2.7625079846283,0.152854709139353,0.498475487773461,-1.6756801047432,-1.08256494827389,-1.03931160786904,1,1,1,"1-1-1"
"qwen-1.5-1.8b-chat",0.26,-2.71425710371356,0.610044075411815,-0.530576317186298,-1.71874591538021,-0.333695023090229,-0.764415151204811,1,2,1,"1-2-1"
"redpajama-incite-3b-chat",0.244,-3.17604605191563,0.337059157509453,-3.4631285358554,-2.22877205756388,-0.336975813026896,0.994354928119671,1,2,3,"1-2-3"
"qwen-1.5-0.5b-chat",0.232,-2.97676974876764,0.00887391616751184,2.57447508750086,-1.60708127680367,-0.974105937644701,-3.0547940187429,1,1,1,"1-1-1"
"redpajama-incite-7b-chat",0.208,-3.32407700929131,-1.43188727559797,-2.41288456902281,-2.41401645917934,-1.04845662309847,0.746541097845989,1,1,3,"1-1-3"
