"item","block","loading_design","H","F1","F2","F3"
59,1,"Loadings = ""Cross""",3,1.2050544002559,-0.541612172033638,-0.484495100658387
60,1,"Loadings = ""Cross""",3,1.05537684075534,0,0
61,1,"Loadings = ""Cross""",3,1.21710049046669,0.517774085793644,0
62,1,"Loadings = ""Cross""",3,1.18906840286218,0,0.422472405806184
63,1,"Loadings = ""Cross""",3,1.05107316013891,0,0
64,1,"Loadings = ""Cross""",3,0.832795173628256,0,0
65,1,"Loadings = ""Cross""",3,1.23363479075488,0,0.398579999338835
66,1,"Loadings = ""Cross""",3,0.946150693809614,-0.334482147917151,0
67,1,"Loadings = ""Cross""",3,1.13187854748685,0,0
68,1,"Loadings = ""Cross""",3,1.19868075719569,0,0
69,1,"Loadings = ""Cross""",3,0.901064584613778,0,-0.234230255987495
70,1,"Loadings = ""Cross""",3,0.779437030781992,0,0
71,1,"Loadings = ""Cross""",3,0.861861495650373,-0.567942573036998,0
72,1,"Loadings = ""Cross""",3,1.17146714404225,0,0
73,1,"Loadings = ""Cross""",3,0.932147695799358,0,0
74,1,"Loadings = ""Cross""",3,0.767528732307255,0,0
75,1,"Loadings = ""Cross""",3,0.844738399377093,0,0
76,1,"Loadings = ""Cross""",3,1.11999775364529,0,0
77,1,"Loadings = ""Cross""",3,0.909311329713091,-0.271239442750812,0
78,1,"Loadings = ""Cross""",3,1.1588794181589,0,0
79,1,"Loadings = ""Cross""",3,1.01210193999577,0,0.322334139049053
80,1,"Loadings = ""Cross""",3,0.929092462640256,0,0
81,1,"Loadings = ""Cross""",3,0.763799924985506,-0.395398848038167,0
82,1,"Loadings = ""Cross""",3,0.839572591125034,0,0
83,1,"Loadings = ""Cross""",3,1.14815043006092,0,0
84,1,"Loadings = ""Cross""",3,1.23250881163403,0,-0.309634222183377
85,1,"Loadings = ""Cross""",3,0.809516901616007,0,0
86,1,"Loadings = ""Cross""",3,1.09264781326056,0.221348369773477,0
87,1,"Loadings = ""Cross""",3,1.0496236513136,0,0.376263952068984
88,1,"Loadings = ""Cross""",3,1.1536532624159,0.272117894981056,-0.483070220891386
89,1,"Loadings = ""Cross""",3,1.12544319522567,0,0
90,1,"Loadings = ""Cross""",3,1.06200280005578,0,0
91,1,"Loadings = ""Cross""",3,1.22765146428719,0,-0.447064475622028
92,1,"Loadings = ""Cross""",3,0.809115356067196,0,0
93,1,"Loadings = ""Cross""",3,0.789992015692405,0,0
94,1,"Loadings = ""Cross""",3,0.861426322488114,0,0
95,1,"Loadings = ""Cross""",3,0.866808467893861,0,0
96,1,"Loadings = ""Cross""",3,0.851543191471137,0,0
97,1,"Loadings = ""Cross""",3,1.14783648680896,0,0
98,1,"Loadings = ""Cross""",3,1.09209838917013,0,0
99,1,"Loadings = ""Cross""",3,0.994440060458146,0,0
100,1,"Loadings = ""Cross""",3,1.01851119054481,0,0
101,1,"Loadings = ""Cross""",3,0.898777121910825,0,0
102,1,"Loadings = ""Cross""",3,1.12310175562743,0,-0.20867195064202
103,1,"Loadings = ""Cross""",3,0.983147402759641,0,0
104,1,"Loadings = ""Cross""",3,0.786547226132825,0,0
105,1,"Loadings = ""Cross""",3,1.20192837272771,0,0
106,1,"Loadings = ""Cross""",3,1.08400865830481,0,0
107,1,"Loadings = ""Cross""",3,1.21258924657013,0,0
108,1,"Loadings = ""Cross""",3,1.19496002618689,0,0
109,1,"Loadings = ""Cross""",3,1.01605675881729,0,0
110,1,"Loadings = ""Cross""",3,1.13179872871842,0,0
111,1,"Loadings = ""Cross""",3,1.14708252216224,0,0.338802539464086
112,1,"Loadings = ""Cross""",3,1.13445490517188,-0.226113979704678,0
113,1,"Loadings = ""Cross""",3,1.09446714771912,-0.319818366039544,0
114,1,"Loadings = ""Cross""",3,0.991778841242194,0,0
115,1,"Loadings = ""Cross""",3,1.24315703788307,0,-0.524441799055785
116,1,"Loadings = ""Cross""",3,1.24614062404726,0,0.55876626111567
117,1,"Loadings = ""Cross""",3,1.11831338587217,0.345489876903594,0.343113005999476
118,1,"Loadings = ""Cross""",3,0.967493636766449,0,0
119,1,"Loadings = ""Cross""",3,0.823786530410871,-0.593562649842352,0
120,1,"Loadings = ""Cross""",3,0.755152604309842,0,0
121,1,"Loadings = ""Cross""",3,0.836082223337144,0,0
122,1,"Loadings = ""Cross""",3,0.91178396192845,0,0
123,1,"Loadings = ""Cross""",3,1.03247221675701,0,0
124,1,"Loadings = ""Cross""",3,0.968486831989139,0,0
125,1,"Loadings = ""Cross""",3,1.06966286932584,0,0
126,1,"Loadings = ""Cross""",3,1.12224957265425,0,0
127,1,"Loadings = ""Cross""",3,0.998872647760436,0,0
128,1,"Loadings = ""Cross""",3,0.796457708580419,0.317852798290551,-0.314413108397275
129,1,"Loadings = ""Cross""",3,1.14196148084011,0,0
130,1,"Loadings = ""Cross""",3,1.17148802557494,-0.335533415898681,0
131,1,"Loadings = ""Cross""",3,0.755258248886093,0,-0.245457009784877
132,1,"Loadings = ""Cross""",3,0.814469813834876,-0.362336389068514,0
133,1,"Loadings = ""Cross""",3,1.18447780155111,0,0
134,1,"Loadings = ""Cross""",3,1.10050165827852,0,0
135,1,"Loadings = ""Cross""",3,0.878049651393667,0,0.560580614954233
136,1,"Loadings = ""Cross""",3,0.961889806203544,0,0
137,1,"Loadings = ""Cross""",3,0.89460074773524,-0.443813766632229,0
138,1,"Loadings = ""Cross""",3,1.07304996228777,0,0
139,1,"Loadings = ""Cross""",3,1.21028529037721,0,-0.269568563904613
140,1,"Loadings = ""Cross""",3,0.978457761928439,0,0
141,1,"Loadings = ""Cross""",3,0.972798304865137,0,0
142,1,"Loadings = ""Cross""",3,1.22164539340883,0,0
143,1,"Loadings = ""Cross""",3,0.953906550072134,0.40179873900488,0.247729638777673
144,1,"Loadings = ""Cross""",3,1.02519585879054,0,0
145,1,"Loadings = ""Cross""",3,0.977188300341368,0,0.47135614240542
146,1,"Loadings = ""Cross""",3,0.909152596723288,0,0.305140396393836
147,1,"Loadings = ""Cross""",3,0.9653436410008,0,0
148,1,"Loadings = ""Cross""",3,1.21066431689542,0.444222433492541,0
149,1,"Loadings = ""Cross""",3,0.770891233347356,0,-0.447949275560677
150,1,"Loadings = ""Cross""",3,1.213987757219,0,0
151,1,"Loadings = ""Cross""",3,1.08162492152769,0,0.356381179019809
152,1,"Loadings = ""Cross""",3,0.900422053760849,0,-0.557933567091823
153,1,"Loadings = ""Cross""",3,0.904417331330478,0,0
154,1,"Loadings = ""Cross""",3,1.06521671940573,0,0
155,1,"Loadings = ""Cross""",3,1.21574933989905,0,0
156,1,"Loadings = ""Cross""",3,0.891031354665756,0.290071016084403,0
157,1,"Loadings = ""Cross""",3,0.828222117736004,0,0
158,1,"Loadings = ""Cross""",3,1.22395580518059,0,0
159,1,"Loadings = ""Cross""",3,0.912946862750687,0,0
160,1,"Loadings = ""Cross""",3,0.937552699702792,-0.568560595810413,-0.400693691521883
161,1,"Loadings = ""Cross""",3,1.02367331075948,0,0.497058350965381
162,1,"Loadings = ""Cross""",3,0.926574613200501,0,0
163,1,"Loadings = ""Cross""",3,0.821993064600974,0,-0.285751938167959
164,1,"Loadings = ""Cross""",3,0.979941718280315,-0.555053111538291,0
165,1,"Loadings = ""Cross""",3,1.21909538621549,-0.404537464026362,0
166,1,"Loadings = ""Cross""",3,0.87173529563006,0,0
167,1,"Loadings = ""Cross""",3,1.18557440093718,0,-0.309947608038783
168,2,"Loadings = ""Cross""",3,-0.296947918552905,1.2316729282029,0.54071434577927
169,2,"Loadings = ""Cross""",3,0,1.08224925771356,0
170,2,"Loadings = ""Cross""",3,0,0.752275777398609,0
171,2,"Loadings = ""Cross""",3,0,0.91166990227066,0
172,2,"Loadings = ""Cross""",3,0,1.24156520527322,0
173,2,"Loadings = ""Cross""",3,0,1.24873157113325,0
174,2,"Loadings = ""Cross""",3,0,0.820436231908388,0
175,2,"Loadings = ""Cross""",3,0,0.90634262363892,0.452058844268322
176,2,"Loadings = ""Cross""",3,0,1.19801349041518,0
177,2,"Loadings = ""Cross""",3,0.452493019029498,1.03851946291979,0
178,2,"Loadings = ""Cross""",3,0,1.07926707086153,-0.365462472289801
179,2,"Loadings = ""Cross""",3,0.406830597762018,1.09598253993317,0
180,2,"Loadings = ""Cross""",3,0,1.07691066607367,0
181,2,"Loadings = ""Cross""",3,0,1.02522442711052,-0.377523249294609
182,2,"Loadings = ""Cross""",3,0.510697482526302,1.0989536884008,0
183,2,"Loadings = ""Cross""",3,0,1.11969974765088,-0.48233404206112
184,2,"Loadings = ""Cross""",3,0,1.20331196556799,0
185,2,"Loadings = ""Cross""",3,0,1.17369254375808,0
186,2,"Loadings = ""Cross""",3,0,1.17555813374929,0
187,2,"Loadings = ""Cross""",3,0,0.968195475055836,0.312202720437199
188,2,"Loadings = ""Cross""",3,-0.263912300486118,1.23857938044239,0
189,2,"Loadings = ""Cross""",3,0,0.96934001846239,-0.260730066522956
190,2,"Loadings = ""Cross""",3,-0.552033186890185,1.01493798347656,0
191,2,"Loadings = ""Cross""",3,0,0.782232288853265,0
192,2,"Loadings = ""Cross""",3,0,1.13305683271028,-0.245505475252867
193,2,"Loadings = ""Cross""",3,0.269682532921433,1.03425902908202,0
194,2,"Loadings = ""Cross""",3,0,0.971761477412656,0
195,2,"Loadings = ""Cross""",3,0.260788349620998,1.03897383855656,0
196,2,"Loadings = ""Cross""",3,0,0.772210968425497,0.230369377229363
197,2,"Loadings = ""Cross""",3,0,1.21154144057073,0
198,2,"Loadings = ""Cross""",3,0,0.993939004605636,0
199,2,"Loadings = ""Cross""",3,0.271567603573203,0.810331310960464,0
200,2,"Loadings = ""Cross""",3,0,0.899343017255887,0
201,2,"Loadings = ""Cross""",3,0,1.19069035083521,0
202,2,"Loadings = ""Cross""",3,0,0.983812636230141,0
203,2,"Loadings = ""Cross""",3,0,0.988132462953217,0
204,2,"Loadings = ""Cross""",3,0,1.12759943085257,0
205,2,"Loadings = ""Cross""",3,0,0.853667634655721,0
206,2,"Loadings = ""Cross""",3,0,1.01486282085534,0
207,2,"Loadings = ""Cross""",3,0,0.853200201760046,0
208,2,"Loadings = ""Cross""",3,0,0.911014826386236,0
209,2,"Loadings = ""Cross""",3,-0.458210548572242,0.771278923144564,0
210,2,"Loadings = ""Cross""",3,0,0.76564073190093,0
211,2,"Loadings = ""Cross""",3,0.216972559224814,0.808037458104081,0
212,2,"Loadings = ""Cross""",3,0,0.933998479624279,0
213,2,"Loadings = ""Cross""",3,0,0.910423809778877,-0.513631423842162
214,2,"Loadings = ""Cross""",3,0,0.979680476128124,0
215,2,"Loadings = ""Cross""",3,0,1.07016534556169,0
216,2,"Loadings = ""Cross""",3,0,0.807512843282893,0
217,2,"Loadings = ""Cross""",3,0,1.17083585401997,-0.552624612208456
218,2,"Loadings = ""Cross""",3,-0.298009942378849,0.93087719369214,0
219,2,"Loadings = ""Cross""",3,0,0.986319836229086,-0.293684238009155
220,2,"Loadings = ""Cross""",3,0,0.858817605301738,0
221,2,"Loadings = ""Cross""",3,0,0.942947998759337,0
222,2,"Loadings = ""Cross""",3,-0.445212964341044,1.1326934134122,0
223,2,"Loadings = ""Cross""",3,0,0.84003032615874,0
224,2,"Loadings = ""Cross""",3,0,0.992270362563431,0
225,2,"Loadings = ""Cross""",3,0,1.22171603946481,0
226,2,"Loadings = ""Cross""",3,0.505481612775475,1.077913213172,0
227,2,"Loadings = ""Cross""",3,0,1.17911796271801,0.367035079654306
228,2,"Loadings = ""Cross""",3,0,0.90690417191945,0
229,2,"Loadings = ""Cross""",3,0,1.14287896698806,-0.517343816626817
230,2,"Loadings = ""Cross""",3,0,1.16294557240326,0.288643377833068
231,2,"Loadings = ""Cross""",3,0.493856376037002,1.15715258335695,0
232,2,"Loadings = ""Cross""",3,0,0.993671405827627,0
233,2,"Loadings = ""Cross""",3,0,1.22896881611086,0
234,2,"Loadings = ""Cross""",3,0,0.908037105225958,0.288140580523759
235,2,"Loadings = ""Cross""",3,-0.323570355307311,0.793701481889002,0
236,2,"Loadings = ""Cross""",3,0,1.24866190052126,0
237,2,"Loadings = ""Cross""",3,0,1.14072064380161,0.254836211912334
238,2,"Loadings = ""Cross""",3,0,1.00806646770798,0
239,2,"Loadings = ""Cross""",3,0,0.946134379366413,0
240,2,"Loadings = ""Cross""",3,0,1.02581248863135,0
241,2,"Loadings = ""Cross""",3,0,1.04988737264648,0
242,2,"Loadings = ""Cross""",3,0,1.06416023964994,-0.495686590671539
243,2,"Loadings = ""Cross""",3,0,0.924760466557927,0
244,2,"Loadings = ""Cross""",3,0,1.02437884965912,0
245,2,"Loadings = ""Cross""",3,0,1.08554144529626,0
246,2,"Loadings = ""Cross""",3,0.34287351211533,1.03813955013175,0
247,2,"Loadings = ""Cross""",3,0,0.87685669248458,0
248,2,"Loadings = ""Cross""",3,0,0.865506812231615,0
249,2,"Loadings = ""Cross""",3,0,1.05289413570426,0
250,2,"Loadings = ""Cross""",3,0,0.916718764347024,0
251,2,"Loadings = ""Cross""",3,0,1.12392899999395,0
252,2,"Loadings = ""Cross""",3,-0.280112338531762,0.99061101290863,0
253,2,"Loadings = ""Cross""",3,0,0.800990873132832,0
254,2,"Loadings = ""Cross""",3,0.539305496495217,1.04337636055425,0.381916781887412
255,2,"Loadings = ""Cross""",3,-0.478862308431417,0.781808951403946,0.519257147889584
256,2,"Loadings = ""Cross""",3,0,1.08048827026505,-0.371008169557899
257,2,"Loadings = ""Cross""",3,-0.326588919013739,1.08445782260969,0
258,2,"Loadings = ""Cross""",3,0.590253705345094,1.22313089529052,-0.408424134552479
259,2,"Loadings = ""Cross""",3,0,1.24876435112674,0.339230910409242
260,2,"Loadings = ""Cross""",3,0,1.06370119680651,0
261,2,"Loadings = ""Cross""",3,-0.235761333629489,0.92839180957526,0
262,2,"Loadings = ""Cross""",3,0,0.845868725213222,0.33217317359522
263,2,"Loadings = ""Cross""",3,0.581675313506275,1.11559317400679,-0.469096246734261
264,2,"Loadings = ""Cross""",3,0,1.24118798424024,0
265,2,"Loadings = ""Cross""",3,0,0.942526667611673,0
266,2,"Loadings = ""Cross""",3,0,1.23225006181747,0
267,2,"Loadings = ""Cross""",3,0.343815503176302,1.16699560754932,0
268,2,"Loadings = ""Cross""",3,-0.568877194356173,1.16187438613269,0
269,2,"Loadings = ""Cross""",3,0,0.982718564919196,0
270,2,"Loadings = ""Cross""",3,0,0.833918828633614,0
271,2,"Loadings = ""Cross""",3,0,0.773291465709917,0
272,2,"Loadings = ""Cross""",3,0,1.12923540675547,0.292920270375907
273,2,"Loadings = ""Cross""",3,0,1.1977590774186,-0.442038284428418
274,2,"Loadings = ""Cross""",3,0,0.973611743422225,0.54028374934569
275,2,"Loadings = ""Cross""",3,0,0.821609430131502,0
276,2,"Loadings = ""Cross""",3,0,1.16881478764117,0
277,2,"Loadings = ""Cross""",3,0,0.961191679351032,0.309811604302377
278,2,"Loadings = ""Cross""",3,0,1.23114243813325,0
279,2,"Loadings = ""Cross""",3,0,1.19827974506188,0
280,2,"Loadings = ""Cross""",3,0,0.910737888654694,0
281,2,"Loadings = ""Cross""",3,0.575347826629877,0.87243202154059,0
282,2,"Loadings = ""Cross""",3,0,0.856641567545012,0.452926298230886
283,2,"Loadings = ""Cross""",3,0,1.01627950719558,0
284,2,"Loadings = ""Cross""",3,0,1.18285025283694,0.591730255261064
285,2,"Loadings = ""Cross""",3,-0.558941295277327,0.802664027316496,0.277608964312822
286,2,"Loadings = ""Cross""",3,0,0.798885882482864,0
287,2,"Loadings = ""Cross""",3,0,0.837243656162173,0.461725530587137
288,2,"Loadings = ""Cross""",3,0,1.21541259554215,0
289,2,"Loadings = ""Cross""",3,0,1.05015249701682,0
290,2,"Loadings = ""Cross""",3,-0.289491330366582,0.834725061897188,-0.560589719749987
291,2,"Loadings = ""Cross""",3,0.213819005340338,1.16599734895863,0
292,2,"Loadings = ""Cross""",3,0,0.972786032827571,-0.410559180285782
293,2,"Loadings = ""Cross""",3,0,0.978544192621484,-0.376202889252454
294,2,"Loadings = ""Cross""",3,0,1.21767426130828,0
295,2,"Loadings = ""Cross""",3,0,0.75570794811938,0.581932169757783
296,2,"Loadings = ""Cross""",3,0,0.849117778707296,0
297,2,"Loadings = ""Cross""",3,0,0.976815446279943,0
298,2,"Loadings = ""Cross""",3,-0.253620601724833,1.18264371459372,0
299,2,"Loadings = ""Cross""",3,0,0.844097278080881,-0.206577485706657
300,2,"Loadings = ""Cross""",3,0.41596880313009,0.883743081707507,0.207568657305092
301,2,"Loadings = ""Cross""",3,0,0.791329532163218,0.410637584142387
302,2,"Loadings = ""Cross""",3,0,0.780719403526746,0
303,2,"Loadings = ""Cross""",3,-0.499971828795969,1.0242884804029,0
304,2,"Loadings = ""Cross""",3,0,0.770611233892851,0
305,2,"Loadings = ""Cross""",3,0,0.778878970304504,-0.388309150841087
306,2,"Loadings = ""Cross""",3,0,1.17273136263248,0.516795483697206
307,2,"Loadings = ""Cross""",3,0,1.02915913716424,0
308,2,"Loadings = ""Cross""",3,0,0.781688292860053,0
309,2,"Loadings = ""Cross""",3,0,1.2222194353817,0
310,2,"Loadings = ""Cross""",3,0,0.800258753821254,0
311,2,"Loadings = ""Cross""",3,0,0.820937804179266,0.453372360020876
312,2,"Loadings = ""Cross""",3,0.393278181832284,1.24883818102535,0
313,2,"Loadings = ""Cross""",3,0,0.893812314723618,0.469060964230448
314,2,"Loadings = ""Cross""",3,0,0.927730557508767,0
315,2,"Loadings = ""Cross""",3,0,1.03321376617532,-0.400879680365324
316,2,"Loadings = ""Cross""",3,0.342363090161234,0.834691644646227,0
317,2,"Loadings = ""Cross""",3,-0.312066135276109,0.788273210870102,0
318,2,"Loadings = ""Cross""",3,-0.556432528141886,0.971150041557848,0
319,2,"Loadings = ""Cross""",3,0,0.769831466022879,0
320,2,"Loadings = ""Cross""",3,0,0.944507578620687,0
321,2,"Loadings = ""Cross""",3,-0.27942376229912,1.06275313021615,0
322,2,"Loadings = ""Cross""",3,0,1.01406158704776,0
323,2,"Loadings = ""Cross""",3,0,0.923738904879428,0
324,2,"Loadings = ""Cross""",3,-0.437667611427605,0.901389290695079,0
325,2,"Loadings = ""Cross""",3,0,0.874729845789261,0
326,2,"Loadings = ""Cross""",3,0,0.916802493622527,-0.345756900683045
327,2,"Loadings = ""Cross""",3,0,0.98182208230719,0.405833406280726
328,2,"Loadings = ""Cross""",3,0,1.00954639655538,0
329,2,"Loadings = ""Cross""",3,0.57636353271082,0.9390522002941,-0.435798772703856
330,2,"Loadings = ""Cross""",3,0,0.944567572674714,0
331,2,"Loadings = ""Cross""",3,0,0.837135782232508,0
332,2,"Loadings = ""Cross""",3,0,1.19130361883435,0
333,2,"Loadings = ""Cross""",3,0,1.23361163726076,0
334,2,"Loadings = ""Cross""",3,0.218648643884808,0.896094753290527,0
335,3,"Loadings = ""Cross""",3,0,0,1.03786543069873
336,3,"Loadings = ""Cross""",3,0,0,1.17769414384384
337,3,"Loadings = ""Cross""",3,0,0,0.753327713115141
338,3,"Loadings = ""Cross""",3,0,0.420246660988778,1.18019193166401
339,3,"Loadings = ""Cross""",3,0.41105695720762,0,0.988698875298724
340,3,"Loadings = ""Cross""",3,0,0,1.1117610904621
341,3,"Loadings = ""Cross""",3,0,0,1.20815980306361
342,3,"Loadings = ""Cross""",3,-0.378795145917684,0.452207061555237,0.8172589589376
343,3,"Loadings = ""Cross""",3,-0.397417593095452,0,0.863504463341087
344,3,"Loadings = ""Cross""",3,0,0,1.23895889753476
345,3,"Loadings = ""Cross""",3,0,0,0.853490013279952
346,3,"Loadings = ""Cross""",3,0,0.357473759818822,1.23500676034018
347,3,"Loadings = ""Cross""",3,0,0,1.13916307943873
348,3,"Loadings = ""Cross""",3,0,0,1.12132461357396
349,3,"Loadings = ""Cross""",3,0,0.344968553353101,1.07802357792389
350,3,"Loadings = ""Cross""",3,0,0.508649196103215,1.08194819430355
351,3,"Loadings = ""Cross""",3,0,0,1.22770071052946
352,3,"Loadings = ""Cross""",3,0,0,0.90836087288335
353,3,"Loadings = ""Cross""",3,0,0,1.21709028515033
354,3,"Loadings = ""Cross""",3,0.507542996387929,0,1.00267675262876
355,3,"Loadings = ""Cross""",3,0,0,0.929628698155284
356,3,"Loadings = ""Cross""",3,0,0,0.844379227142781
357,3,"Loadings = ""Cross""",3,0,0.223056523129344,1.01041849341709
358,3,"Loadings = ""Cross""",3,0,0.288573551084846,0.957413816940971
359,3,"Loadings = ""Cross""",3,0,0,1.22046362026595
360,3,"Loadings = ""Cross""",3,-0.386745345406234,0,0.788081606617197
361,3,"Loadings = ""Cross""",3,0,0,1.23354386317078
362,3,"Loadings = ""Cross""",3,0.298017148207873,0,0.766919170273468
363,3,"Loadings = ""Cross""",3,0,0.413932447694242,0.798226199811324
364,3,"Loadings = ""Cross""",3,0,0,1.00733696040697
365,3,"Loadings = ""Cross""",3,0,0,1.05183888925239
366,3,"Loadings = ""Cross""",3,-0.597600627411157,0,1.09194163559005
367,3,"Loadings = ""Cross""",3,0,0,1.1570071275346
368,3,"Loadings = ""Cross""",3,0,0,0.919037895509973
369,3,"Loadings = ""Cross""",3,0,-0.47793279606849,1.08103037741967
370,3,"Loadings = ""Cross""",3,0,-0.403542893007398,0.758652019896545
371,3,"Loadings = ""Cross""",3,0,0,0.888806114555337
372,3,"Loadings = ""Cross""",3,0,-0.521968523878604,0.927974714315496
373,3,"Loadings = ""Cross""",3,-0.379646359756589,0,0.953185296966694
374,3,"Loadings = ""Cross""",3,0,0,0.978332882397808
375,3,"Loadings = ""Cross""",3,0,0,1.02892688242719
376,3,"Loadings = ""Cross""",3,0,0,1.07187249674462
377,3,"Loadings = ""Cross""",3,-0.296574051026255,0,0.927327008685097
378,3,"Loadings = ""Cross""",3,0,0,0.812053575296886
379,3,"Loadings = ""Cross""",3,0,0,1.19387724797707
380,3,"Loadings = ""Cross""",3,0,0,0.902694864198565
381,3,"Loadings = ""Cross""",3,0,-0.566238132677972,1.12110288720578
382,3,"Loadings = ""Cross""",3,-0.373285338655114,0,1.23318181163631
383,3,"Loadings = ""Cross""",3,-0.255844547506422,0,0.843752729240805
384,3,"Loadings = ""Cross""",3,0,0,1.22425740584731
385,3,"Loadings = ""Cross""",3,0,0,1.19783415575512
386,3,"Loadings = ""Cross""",3,0,0,1.16309696936514
387,3,"Loadings = ""Cross""",3,0.389406498800963,0,1.05233130906709
388,3,"Loadings = ""Cross""",3,0.341833715420216,0.354438460431993,1.20232930080965
389,3,"Loadings = ""Cross""",3,0.528598475456238,0,0.905486667645164
390,3,"Loadings = ""Cross""",3,0,0,0.999269615742378
391,3,"Loadings = ""Cross""",3,0,0,1.08758875890635
392,3,"Loadings = ""Cross""",3,0,0,0.858989891130477
393,3,"Loadings = ""Cross""",3,0,0,1.07771517941728
394,3,"Loadings = ""Cross""",3,0,0,1.17651708004996
395,3,"Loadings = ""Cross""",3,0,0,0.853544192854315
396,3,"Loadings = ""Cross""",3,0,0,1.20688308158424
397,3,"Loadings = ""Cross""",3,-0.233176254946738,0,1.05767153610941
398,3,"Loadings = ""Cross""",3,0,0,1.00711260666139
399,3,"Loadings = ""Cross""",3,0,0.264717892743647,0.751243798644282
400,3,"Loadings = ""Cross""",3,0,0,0.841411082306877
401,3,"Loadings = ""Cross""",3,0.483973808214068,0,1.06521986646112
402,3,"Loadings = ""Cross""",3,0,0,1.03576616884675
403,3,"Loadings = ""Cross""",3,0,0,1.03337942447979
404,3,"Loadings = ""Cross""",3,-0.57504255939275,0,0.767876417259686
405,3,"Loadings = ""Cross""",3,0.329219146538526,-0.260240888409317,0.779598719906062
406,3,"Loadings = ""Cross""",3,0,0,1.15981983649544
407,3,"Loadings = ""Cross""",3,0,0,1.13131421688013
