"item","block","loading_design","block_size_mode","H","F1","F2","F3"
65,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.946822035708465,0,0
66,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.03771238378249,0,0
67,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15897051093634,0,0
68,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.16129964333959,0,0
69,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.766596455709077,0,0
70,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.931959862122312,0,0
71,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.795631065964699,0,0
72,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.859157263301313,0,0
73,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.808306260849349,0,0
74,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15236711141188,0,0
75,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15010318614077,0,0
76,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04199437249918,0,0
77,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.901378426351584,0,0
78,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.24820169969462,0,0
79,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.835339107783511,0,0
80,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.21586799423676,0,0
81,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0752479195362,0,0
82,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1052807221422,0.127643298469484,0
83,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18783002067357,0,0
84,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23447722406127,0,0
85,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12864860659465,0,0
86,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.966327321832068,0,0
87,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.783883948228322,0,0
88,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.824950985144824,0,0
89,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18628635001369,0,0
90,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.863893987960182,0,0
91,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.14426266914234,0,0
92,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.77388140570838,0,0
93,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.98935546388384,0,0
94,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.2299938830547,0,0
95,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.82521581929177,0,0
96,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.00787485425826,0,0
97,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1933642210206,0,0
98,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.16657439037226,0,0
99,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.934221292496659,0,0
100,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.824577549588867,0,0
101,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.873372628353536,0,0
102,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04635242291261,0,0
103,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15215844963677,0,0
104,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.923890586476773,0,0
105,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.20517976803239,0,0
106,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.84734073409345,0,0
107,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.806036900379695,0,0
108,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12545896973461,0.174480411484838,0
109,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.841408994048834,0,0
110,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.09778908558656,0,0
111,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.05140502145514,0,0
112,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.895764101063833,0,0
113,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12488140980713,0,0
114,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17845079663675,0,0
115,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17152080917731,0,0
116,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18209609854966,0,0
117,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.988247011089697,0,0
118,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.01927257876378,0,0
119,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.2308571463218,0,0
120,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.19552317017224,0,0
121,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.98360211122781,0,0
122,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.02781565405894,0,0
123,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.2439015484415,0,0
124,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.05494190752506,0,0
125,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.11571047536563,0,0
126,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.785851186839864,0,0
127,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.09438726608641,0,0
128,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17901872191578,0,0
129,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.834372563054785,0,0
130,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.782119302079082,0.130167030803859,0
131,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.09119832993019,0,0
132,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.971144322887994,0,0
133,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.06222946429625,0,0
134,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.869318709825166,0,0
135,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.20592319290154,0,0
136,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17398517532274,0,0
137,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.06069009844214,0,0
138,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.10352095589042,0,0
139,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.00303849636111,0,0
140,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18884787196293,0,0
141,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.07345878204796,0,0
142,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04795930627733,0,0
143,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15943662414793,0,0
144,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0590411380399,0,0
145,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.16062782914378,0,0
146,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.2449218503898,0,0
147,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18462658685166,0,0
148,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.949063203763217,0,0
149,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.928638087119907,0,0
150,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.10718922631349,0,0
151,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.908748453017324,0,0
152,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.09173247078434,0,0
153,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.09311712975614,0,0
154,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.983008508221246,0,0
155,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23023506032769,0,0
156,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.889574628206901,0,0.1908699670434
157,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.11385613819584,0,0
158,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.24579569371417,0,0
159,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.01213585038204,0,0
160,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.00972533843014,0,0
161,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.21628806251101,0,0.218595550321043
162,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.96703124884516,0,0
163,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.88650367083028,0,0
164,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.925342232803814,0,0
165,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23364467371721,0,0
166,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.939453521976247,0,0
167,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.06190289824735,0,0
168,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.973714615800418,0,0.244244349822402
169,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23607465287205,0,0
170,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18383771274239,0,0
171,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.751485963352025,0,0
172,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.998939541750588,0,0
173,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.2072813839186,0,0
174,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.861863219528459,0,0
175,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.989452420384623,0,0
176,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.906567917438224,0,0
177,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23835392296314,0,0
178,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.93292544723954,0,0
179,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18325045029633,0,0
180,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.794446404790506,0,0
181,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.21344301884528,0,0
182,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.96646532905288,0,0
183,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.971683859708719,0,0
184,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.950150061165914,0,0
185,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.769706580322236,0,0
186,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.824186795274727,0,0
187,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12093155737966,0,0
188,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.16114270419348,0,0
189,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.756429159198888,0,0
190,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0689405357698,0,0
191,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.994076081551611,0,0
192,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.03391735767946,0,0
193,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.933219670783728,0,0
194,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12535285297781,0,0
195,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.06968356540892,0.121200283281505,0
196,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.76604247209616,0,0
197,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12480529537424,0,0
198,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.08679357741494,0,0.266939334236085
199,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.993620192748494,0,0
200,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0331859018188,0,0
201,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.24166828778107,0,0
202,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.03255571087357,0,0
203,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.10044243047014,0,0
204,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23277542018332,0,0
205,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15977931360248,0,0
206,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.834984518121928,0.198885172381997,0
207,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.15086283988785,0.256237746998668,0
208,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.861381455673836,0,0
209,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.859806691179983,0,0
210,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.19674458866939,0,0
211,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0417861827882,0,0
212,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.06158932379913,0,0
213,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.988995434716344,0,0
214,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22272013977636,0,0
215,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12130047474056,0,0
216,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12062694656197,0,0
217,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.01454202632885,0,0
218,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.12266488082241,0,0
219,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.20637020468712,0,0
220,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.800628470955417,0,0
221,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22082354861777,0,0
222,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.933331902138889,0,0
223,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.855968810501508,0,0
224,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.984444722998887,0,0
225,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17656716215424,0,0
226,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.02632980654016,0,0
227,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.19160788995214,0.216280594803393,0
228,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.908719766768627,0,0
229,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.87032450013794,0,0
230,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.964383460930549,0,0.188785507269204
231,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.796087318914942,0,0
232,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.953350672731176,0,0
233,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.10610291536432,0,0
234,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23599565750919,0,0
235,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.867558107012883,0,0
236,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.19250656082295,0,0
237,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1053622327745,0,0
238,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.755404657684267,0,0
239,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.907774955383502,0,0
240,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.966071168892086,0,0
241,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22107745218091,0,0
242,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.21258786530234,0,0
243,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.823390278732404,0,0
244,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22026495542377,0,0
245,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23754933907185,0,0
246,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.783066557138227,0,0
247,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.0772866748739,0,0
248,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.874480651458725,0,0
249,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.758863162132911,0,0
250,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.94862228736747,0,0
251,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22801992786117,0,0
252,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.02738423435949,0,0
253,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.20297942345496,0,0
254,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.819158835452981,0,0
255,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.945425775018521,0,0
256,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.07751080999151,0,0
257,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.97296613547951,0,0
258,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.75006848340854,0,0
259,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23080002982169,0,0
260,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.921977233374491,0,0
261,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.13915171509143,0,0
262,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.886207915726118,0,0
263,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.971266551176086,0,0
264,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.03023384080734,0,0
265,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.752573499688879,0,0
266,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.999947671196423,0,0
267,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.23209820571356,0,0
268,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.07440170552582,0,0
269,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1445977059193,0,0
270,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04835077538155,0,0
271,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.01946463854983,0,0
272,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.926188222481869,0,0
273,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.885022686095908,0,0
274,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.797085563535802,0,0
275,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.752949860529043,0,0
276,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.22228721389547,0,0
277,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.20188993122429,0,0
278,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.862855997402221,0,0
279,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.00446074164938,0,0
280,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.970498654874973,0,0
281,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.14357362291776,0,0
282,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.901143446099013,0,0
283,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.04520308529027,0,0
284,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.765756999375299,0,0
285,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.90515658503864,0,0
286,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17009942722507,0.206184995137155,0.267869302928448
287,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.24997481366154,0,0
288,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.864808273036033,0,0
289,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.1228918217821,0,0
290,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.920630210777745,0,0
291,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.945227680495009,0,0
292,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.766214265604503,0,0
293,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.18489990814123,0,0
294,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.17475332249887,0.155042087398469,0
295,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,0.86280671635177,0,0
296,1,"Loadings = ""Sparse""","moderate_ifeval_like",3,1.09701537399087,0,0
297,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.962053157039918,0
298,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.909897600882687,0.152151627056301
299,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.804427281836979,0
300,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.769246779149398,0
301,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,1.23864646092989,0
302,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.899167902301997,0
303,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.994667993742041,0
304,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,1.12181308667641,0
305,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.853179154451936,0
306,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,1.10310767719056,0
307,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.995382050285116,0
308,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.756791159044951,0
309,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.98222930834163,0
310,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.841419527307153,0
311,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,1.03810501855332,0
312,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,1.0194775306154,0
313,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.783307883306406,0
314,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.957384335808456,0
315,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.812388531165197,0
316,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.859200435108505,0
317,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.89176588866394,0
318,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.778157154330984,0
319,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.807432969100773,0
320,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,0.93310491729062,0
321,2,"Loadings = ""Sparse""","moderate_ifeval_like",3,0,1.01036986359395,0
