"item","block","loading_design","block_size_mode","H","F1","F2","F3","F4"
23,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.1247468526708,0,0,0
24,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.779234423418529,0,0,0
25,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.14847688761074,0,0,0
26,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.803761300165206,-0.577214784827083,0,0
27,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23654917208478,0,0,0
28,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23481147864368,0,-0.585504025127739,0
29,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.16427665879019,0,0,-0.259871967881918
30,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.08245967177209,-0.526420619990677,0,0
31,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.90395386563614,-0.332025370746851,-0.394931757263839,0
32,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.09238615096547,0.477173888683319,0,0
33,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.812449450488202,0,0,0.400951984710991
34,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.15907062962651,-0.45495798997581,0.543192316312343,-0.426515215262771
35,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.04112409136724,-0.580930741783231,0,0
36,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.867917225696146,0,0,0
37,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.950784646440297,0,0,0.362488326057792
38,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.17730432795361,0,-0.460856891516596,0
39,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.02097556588706,0,0,0.395635778456926
40,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.95191551046446,0.514034746773541,0,0
41,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24219369853381,-0.314614518079907,-0.22555781789124,0
42,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.07926672266331,0,-0.438862582296133,0
43,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.13832688552793,0,0,0.595710318908095
44,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.19398562912829,0,0,-0.34374213013798
45,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.01383798534516,0,0,0
46,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.905694399378262,0,0,0
47,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.861666786833666,0,0,0
48,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.945335205527954,0,0,0
49,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.94314102944918,0,0,0.465189134608954
50,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.903386660967954,-0.37599784610793,0,0
51,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.85847879818175,0,0,0
52,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20640193333384,-0.302693223301321,0,0
53,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.807878783671185,0,0,0.316051328834146
54,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.09870317438617,0,0.273789570480585,-0.299524503108114
55,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.10886077757459,0,0,0
56,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.909233070677146,0,0,0
57,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.22151902480982,0,0.55491604981944,0
58,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.814975748886354,0,-0.512744208518416,0
59,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.169045481598,0,0,0
60,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03533550840802,0,0,0
61,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03151934174821,-0.34354501273483,0.531441530864686,0
62,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.12424614327028,0,-0.488162005133927,0
63,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.846381257520989,0,0,0.541202306561172
64,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.798638784559444,0.538769469317049,0,0
65,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.975706806639209,0,0,0
66,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.777534324792214,0,0.295974377077073,0
67,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.880912489257753,0,0.403412817511708,0
68,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.865750541910529,0,0,0
69,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.752475907211192,0,0,0
70,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.791958433459513,0,-0.280425613094121,0
71,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.967081046197563,0,0,-0.559172942209989
72,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.16217535408214,0,0,0
73,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.909204927738756,0,-0.232044758368284,0
74,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.838119572494179,0,0,0
75,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.943539683590643,-0.248895099479705,0,0
76,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.2057071106974,0,0,0
77,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.15547931194305,0,0,0.429688153602183
78,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.924253030563705,0,0,0
79,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.772401276626624,0,0,0
80,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.917347833630629,-0.215765156503767,0,-0.402180540375412
81,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.856786391814239,-0.292350831069052,0,0
82,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.08665938919876,0,0,0
83,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.848844801890664,0,0,0.209181755501777
84,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03320904518478,0,0,0
85,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.979654206661507,0,0,0
86,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.12749298918061,-0.512259889766574,0,0
87,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.92811412375886,0,0,0
88,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.767518004286103,0,-0.559877155534923,0
89,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.792222480173223,0,0,-0.422273061145097
90,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.918790859635919,0,0,0
91,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.829672382562421,0,0,0
92,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03876660345122,-0.43295084470883,0,0
93,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.01639246218838,0.258401922602206,0.381295628473163,0
94,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.972574438084848,0,0,-0.328748045582324
95,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.809028604999185,0,0,0
96,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.78201720805373,0,0.463877355214208,0
97,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.00086202449165,0.571958129107952,0,0
98,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.08467182319146,0,0,0
99,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.906722085783258,0,0,0
100,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.972619475447573,0,0,-0.390750135947019
101,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.14384132856503,0,0.20082426564768,0
102,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.11375056626275,0,0,0.335444178711623
103,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.1282318464946,0.526275526266545,0,0
104,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.02461094467435,0,0,0
105,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24139268125873,0.355190559383482,0,0.551448910310864
106,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.878056390094571,0,0,0
107,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.800704612862319,0,-0.271835278347135,0
108,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.845959594706073,-0.207134073134512,0,0
109,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.881986102904193,-0.545310935843736,0,-0.357550633978099
110,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.21908560337033,0,0,0
111,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.2070432001492,-0.566512980312109,0,0
112,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.09800749272108,0,0.393013473786414,0
113,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18952988123056,0,0,0
114,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.840754165896215,0,0,0
115,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.950384456198663,0,-0.482240923587233,0.378543205186725
116,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.757380002993159,-0.2807163878344,0,0
117,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.869873122894205,0,0.30273941969499,0
118,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.969334415858611,0,0.258107762876898,0
119,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.992252091877162,0,0,0
120,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.881411817390472,0,0,0
121,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.781317548942752,0,0,-0.46310524335131
122,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.07530426536687,0,-0.307918266486377,0
123,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.06227220862638,0,0,0
124,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.81104450894054,0,0,0
125,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.17275388957933,-0.592770383041352,0,0
126,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.994174737948924,0,0,0
127,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.09565167897381,-0.467010528873652,0,0
128,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.784981864504516,0,0,0
129,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18496834242251,-0.520133419986814,0,0
130,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.788577726576477,0,0.524335534032434,0
131,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.804104488925077,-0.589843519590795,0.570513242669404,0
132,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.896051392774098,0,0,0
133,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24616828805301,0,0,0
134,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.946987464441918,0.572556380089372,0,0.469476941600442
135,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.17371973267291,0,0,-0.46307877432555
136,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.14574140647892,0,-0.213454522658139,0
137,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.928847934468649,0.205181999411434,0,0
138,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.893017597263679,0,0,0
139,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.872601927840151,0,0,0
140,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03773888386786,0,0,-0.214190551359206
141,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.00762997171842,0,0,-0.340373396594077
142,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.85188842494972,0,0,0
143,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.791552543290891,0,-0.351509698294103,0.54409305639565
144,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.790971274953336,0,-0.200466636940837,0
145,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.19103422830813,0,0,0
146,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.89812568994239,0,0,0
147,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.834686135873199,0,0,0
148,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.16207486100029,0,0,-0.594288263563067
149,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.9070249653887,0,0.54665350727737,-0.264529863279313
150,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.16898342815693,-0.414196268748492,0,0.576764302328229
151,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.21079183695838,0,0,0
152,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.931583741679788,-0.280556037742645,0,0
153,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.853115099016577,0,0.475981970317662,0
154,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.14541194471531,-0.252634320687503,0,0
155,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.02162336441688,0,0,0
156,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.940931669785641,0,0,-0.382445299159735
157,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.905294204829261,-0.366961287613958,-0.425834871921688,0
158,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.94896454422269,0,0,0
159,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.01928417140152,0,0,-0.273925599828362
160,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.790941859362647,0,0,0.563179528526962
161,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.911361345672049,-0.372218446619809,0,0
162,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.991555669344962,0.262505529914051,0,0
163,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.794159689568914,0,0,0
164,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.10197385470383,0,0,0
165,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.853863578289747,0,0,0
166,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.856966946623288,0,-0.331174928229302,0
167,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24064866523258,0,0,0
168,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.826226640725508,-0.266901456844062,0,0
169,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.15654388547409,0,0,0
170,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.04702382045798,0,0.266991006303579,0
171,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.785050319042057,0,0,-0.514569281600416
172,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.08358967176173,0,0,0
173,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.00795937154908,0,0,0
174,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.86514120909851,0,0,0
175,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23266306146979,-0.293702986836433,0.346055197529495,0
176,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.981278237421066,0.378385109640658,0,0
177,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.951296977233142,-0.282316926773638,0.48237996166572,0
178,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.10774162993766,0,0,0.445479497592896
179,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.810166667681187,0.502632727660239,0,-0.399439614731818
180,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.04414610529784,-0.567514267005026,0,0
181,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03444939572364,0,0,0.492291514482349
182,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.77213236503303,0,0,0
183,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24100981210358,0,-0.276172272861004,0
184,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20096644072328,0.382271700445563,0,0
185,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.10357838193886,0,0,0
186,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.02980629517697,0.253670613002032,0.315233153756708,0
187,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.96193424181547,0,0.592926176078618,-0.390950535982847
188,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.802839727024548,-0.244036671612412,0,0
189,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.1808905415237,0,0,0
190,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18019382201601,0,0,0
191,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.859940663329326,0,0,-0.546894635912031
192,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23853068752214,0,0,0
193,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.866087209316902,0,0,0
194,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.823476058780216,0,0.21356255710125,0
195,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.849611515761353,0,0,0
196,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.938713365932927,0,0,0
197,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.916829600580968,0,0,0.342820857930928
198,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24655025207903,0.554723109211773,0,0
199,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.966626718058251,0,0,-0.270743725914508
200,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23235800291877,0.461465449538082,0.337810576427728,0
201,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.870300160720944,0,-0.49571968568489,0
202,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.00850062537938,0.264455148018897,0,0
203,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.11996323266067,0,0,0
204,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.12162757397164,0,0,0
205,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.901858124183491,0,0,-0.423258833028376
206,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.22321397939231,0,0,0
207,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.10542069911025,0,0,0.245772942062467
208,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.963607308571227,0.528584168665111,0,0
209,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18083834496792,0,0,0
210,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.22002576710656,0.477020414453,0,-0.264424452837557
211,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23328182287514,-0.403856947738677,0,0
212,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.863183179870248,0,0,-0.452909000311047
213,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.813183224992827,0,-0.344486235454679,0
214,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18889886199031,0,0,0
215,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.925872751045972,0,0,0
216,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.776039160555229,0,0.533610280044377,0
217,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20031621307135,0,0,0
218,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.07091156695969,0,0,0
219,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.07944054226391,0,0,-0.507832062896341
220,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.779345781891607,0,0,0.23304702565074
221,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.00442705862224,0,0.456675160862505,0
222,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.01660498196725,0,0,0
223,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.04883900296409,0,0,0
224,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.06464673008304,0,0,0
225,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.02937378315255,0,0,0.353758417721838
226,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.932906065951101,-0.562046187836677,0,0
227,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.80117836187128,0,0.215261570271105,0
228,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.10558155144099,0,0,0.534720996115357
229,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.978999445680529,0,-0.483061178121716,0
230,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.918542415485717,0,0,0
231,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.21650739398319,0,0,0
232,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.888956440729089,0,0.59322594422847,0.462135967053473
233,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.766484270337969,-0.563329442217946,-0.316118321567774,0
234,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.818790476303548,0,-0.495878020208329,0
235,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.775990690337494,-0.55209725247696,0.325568089075387,0
236,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.78169024689123,0,0,0.417104193288833
237,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.835893018054776,0,0,0
238,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18519253958948,0.581189556419849,0,0
239,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.803609831142239,0,0,0.559695293474942
240,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.11733810149599,0,-0.448148692492396,0
241,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.766010390012525,0,0,0
242,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.0748580036452,0,0,0
243,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20940357889049,0,0,0
244,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18803873693105,0,0,0
245,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.82966821512673,0.521395941171795,0,0
246,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.03355315001681,0,0,0
247,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.915080597274937,0.370916342455894,0,0
248,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.13840950117446,0.556171486712992,0.458310035709292,0.297778402920812
249,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.23231846711133,0,0,0
250,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.917713423958048,0,0,0.545853093545884
251,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.19349985243753,0,0,0
252,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.923985291970894,0,0,0
253,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.05249142157845,0,0,0
254,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.777286281110719,0,0,0
255,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.0969891352579,0,0,0.50077775772661
256,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.959968794486485,-0.557684994395822,0,0
257,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.883278367691673,0.407324638869613,-0.391953819524497,0
258,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.18298758880701,0,0,0
259,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.24387528095394,0,-0.501601971499622,0.226980981789529
260,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.12437904975377,0,0.56809205589816,0
261,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.948782835854217,0,0,-0.209594561811537
262,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.20394232741091,0,0,0
263,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.974163010949269,0,0,0
264,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.12051593814977,0,0.396874214615673,0
265,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.895590814179741,0,0,0
266,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.804070508456789,0,0,0
267,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.764945913222618,0.338358461018652,0,0.285871420335025
268,1,"Loadings = ""Cross""","moderate_ifeval_like",4,1.04789997043554,0,-0.306755249202251,0
269,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.756912515265867,0.220973847806454,0,0
270,1,"Loadings = ""Cross""","moderate_ifeval_like",4,0.974268051912077,0,0,-0.408749370183796
271,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,0.768189083435573,-0.495979106705636,0
272,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.09285656327847,0,0
273,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,0.980701911845244,0,0
274,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,0.830100126098841,0,-0.497099187411368
275,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.22019749612082,0.219792495388538,0
276,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.01416778936982,0,-0.44058050122112
277,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,0.783249497530051,0,0
278,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.01094995252788,0,0
279,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0.256240127235651,1.16625666443724,-0.379866637289524,0
280,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.12339201197028,0,0
281,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,0.905577891040593,0,0
282,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.12280440202449,0,0.291595253162086
283,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.04592390765902,0,0
284,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,0.895069796941243,0,0.364039051625878
285,2,"Loadings = ""Cross""","moderate_ifeval_like",4,-0.519894803129136,0.775986180990003,0,0
286,2,"Loadings = ""Cross""","moderate_ifeval_like",4,0,1.0746651297668,0,0
