"item","block","loading_design","H","F1","F2","F3","F4"
156,2,"Loadings = ""Sparse""",4,0,1.1391184264794,0,0
157,2,"Loadings = ""Sparse""",4,0,1.15443189919461,0,0
158,2,"Loadings = ""Sparse""",4,0,0.991089996416122,0,0
159,2,"Loadings = ""Sparse""",4,0,0.865082312608138,0,0
160,2,"Loadings = ""Sparse""",4,0,0.96418249164708,0,0
161,2,"Loadings = ""Sparse""",4,0,0.829171564429998,0,0
162,2,"Loadings = ""Sparse""",4,0,1.04149001336191,0,0
163,2,"Loadings = ""Sparse""",4,0,1.01196322822943,0,0
164,2,"Loadings = ""Sparse""",4,0,0.752185348654166,0,0
165,2,"Loadings = ""Sparse""",4,0,1.06433305062819,0,0.245961461029947
166,2,"Loadings = ""Sparse""",4,0,1.14033509173896,0.243521742224693,0.205327680371702
167,2,"Loadings = ""Sparse""",4,0.2631368541345,1.14674523181748,0.183266860991716,0
168,2,"Loadings = ""Sparse""",4,0,0.789459866588004,0.233995381854475,0
169,2,"Loadings = ""Sparse""",4,0,1.12502533686347,0,0
170,2,"Loadings = ""Sparse""",4,0,1.20777215878479,0,0
171,2,"Loadings = ""Sparse""",4,0,1.17230691760778,0,0
172,2,"Loadings = ""Sparse""",4,0,1.18923540739343,0,0
173,2,"Loadings = ""Sparse""",4,0,1.01076895557344,0,0
174,2,"Loadings = ""Sparse""",4,0,0.954767025425099,0,0
175,2,"Loadings = ""Sparse""",4,0,1.23402305936906,0,0
176,2,"Loadings = ""Sparse""",4,0,0.859265209757723,0,0
177,2,"Loadings = ""Sparse""",4,0,0.940281324903481,0,0
178,2,"Loadings = ""Sparse""",4,0,1.20424922765233,0,0
179,2,"Loadings = ""Sparse""",4,0.205776966325939,0.864244514959864,0,0
180,2,"Loadings = ""Sparse""",4,0,1.13794840092305,0,0
181,2,"Loadings = ""Sparse""",4,0,1.12050780467689,0,0
182,2,"Loadings = ""Sparse""",4,0,0.896393972332589,0,0
183,2,"Loadings = ""Sparse""",4,0,1.23916960298084,0,0
184,2,"Loadings = ""Sparse""",4,0,1.12741387006827,0,0
185,2,"Loadings = ""Sparse""",4,0,1.24632836587261,0,0
186,2,"Loadings = ""Sparse""",4,0,1.04369057633448,0,0
187,2,"Loadings = ""Sparse""",4,0,0.948956355801784,0,0
188,2,"Loadings = ""Sparse""",4,0.250309260189533,0.752772147301584,0,0
189,2,"Loadings = ""Sparse""",4,0,1.16654889716301,0,0
190,2,"Loadings = ""Sparse""",4,0,0.801618014811538,0,0
191,2,"Loadings = ""Sparse""",4,0,0.952170545351692,0,0
192,2,"Loadings = ""Sparse""",4,0,1.00815664057154,0,0
193,2,"Loadings = ""Sparse""",4,0,0.85209734889213,0,0
194,2,"Loadings = ""Sparse""",4,0,0.933544612373225,0,0
195,2,"Loadings = ""Sparse""",4,0,0.844764451729134,0,0
196,2,"Loadings = ""Sparse""",4,0,0.849721605074592,0,0
197,2,"Loadings = ""Sparse""",4,0,1.12951888353564,0,0
198,2,"Loadings = ""Sparse""",4,0,0.872653750819154,0,0
199,2,"Loadings = ""Sparse""",4,0,0.954175569466315,0,0
200,2,"Loadings = ""Sparse""",4,0,0.794225655845366,0,0
201,2,"Loadings = ""Sparse""",4,0,1.20912908983883,0,0
202,2,"Loadings = ""Sparse""",4,0,1.1365463064285,0,0
203,2,"Loadings = ""Sparse""",4,0,0.79600403830409,0,0
204,2,"Loadings = ""Sparse""",4,0,1.04310175857972,0,0
205,2,"Loadings = ""Sparse""",4,0,0.76827381295152,0,0
206,2,"Loadings = ""Sparse""",4,0,0.780890279798768,0,0
207,2,"Loadings = ""Sparse""",4,0,1.08661378128454,0,0
208,2,"Loadings = ""Sparse""",4,0.235841400623322,0.756953791016713,0,0
209,2,"Loadings = ""Sparse""",4,0,0.753609257517383,0,0
210,2,"Loadings = ""Sparse""",4,0.215201883502305,1.07729992363602,0,0
211,2,"Loadings = ""Sparse""",4,0,1.07746671861969,0,0
212,2,"Loadings = ""Sparse""",4,0,1.01777111669071,0,0
213,2,"Loadings = ""Sparse""",4,0.139043685793877,1.00356381642632,0,0
214,2,"Loadings = ""Sparse""",4,0,1.24552081606817,0,0
215,2,"Loadings = ""Sparse""",4,0,1.0323370017577,0,0
216,2,"Loadings = ""Sparse""",4,0,1.22862246655859,0,0
217,2,"Loadings = ""Sparse""",4,0,1.13908442703541,0,0
218,2,"Loadings = ""Sparse""",4,0,1.01633574429434,0,0
219,2,"Loadings = ""Sparse""",4,0,0.935650787083432,0,0
220,2,"Loadings = ""Sparse""",4,0,1.02927415224258,0,0
221,2,"Loadings = ""Sparse""",4,0,1.00844687083736,0,0
222,2,"Loadings = ""Sparse""",4,0,1.17819738818798,0,0
223,2,"Loadings = ""Sparse""",4,0,1.23588096396998,0,0
224,2,"Loadings = ""Sparse""",4,0,1.06070152448956,0,0
225,2,"Loadings = ""Sparse""",4,0,1.21423702815082,0.181778088845313,0
226,2,"Loadings = ""Sparse""",4,0,1.14700985897798,0,0
227,2,"Loadings = ""Sparse""",4,0,0.862997191259637,0,0
228,2,"Loadings = ""Sparse""",4,0,1.11909859022126,0,0
229,2,"Loadings = ""Sparse""",4,0.273021915517747,0.930431086220779,0,0
230,2,"Loadings = ""Sparse""",4,0,0.872666122508235,0,0
231,2,"Loadings = ""Sparse""",4,0,1.19657965912484,0,0
232,2,"Loadings = ""Sparse""",4,0,1.19946873327717,0,0
233,2,"Loadings = ""Sparse""",4,0,1.12300591578241,0,0
234,2,"Loadings = ""Sparse""",4,0,0.853794235386886,0,0
235,2,"Loadings = ""Sparse""",4,0,1.213693041238,0,0
236,2,"Loadings = ""Sparse""",4,0,0.925125592155382,0,0
237,2,"Loadings = ""Sparse""",4,0,0.947800581692718,0,0
238,2,"Loadings = ""Sparse""",4,0,0.805818795692176,0,0.144400924742222
239,2,"Loadings = ""Sparse""",4,0,1.03013473341707,0,0
240,2,"Loadings = ""Sparse""",4,0,0.79569503699895,0,0
241,2,"Loadings = ""Sparse""",4,0,1.22727997496258,0,0
242,2,"Loadings = ""Sparse""",4,0,0.959612637758255,0,0
243,2,"Loadings = ""Sparse""",4,0,1.05428506503813,0,0
244,2,"Loadings = ""Sparse""",4,0,0.863302003475837,0,0
245,2,"Loadings = ""Sparse""",4,0,1.19585735967848,0,0
246,2,"Loadings = ""Sparse""",4,0.187059719972312,0.89874772937037,0,0
247,2,"Loadings = ""Sparse""",4,0,1.18865697691217,0,0
248,2,"Loadings = ""Sparse""",4,0,1.24559467297513,0,0
249,2,"Loadings = ""Sparse""",4,0.250066277198494,1.10718362487387,0,0
250,2,"Loadings = ""Sparse""",4,0,1.05462732934393,0,0
251,3,"Loadings = ""Sparse""",4,0,0,0.963574843248352,0
252,3,"Loadings = ""Sparse""",4,0,0,1.05946526676416,0
253,3,"Loadings = ""Sparse""",4,0,0,0.966701856232248,0
254,3,"Loadings = ""Sparse""",4,0,0,0.894313263706863,0
255,3,"Loadings = ""Sparse""",4,0,0,0.944003809825517,0
256,3,"Loadings = ""Sparse""",4,0,0,0.867058267467655,0
257,3,"Loadings = ""Sparse""",4,0,0,0.949856584193185,0
258,3,"Loadings = ""Sparse""",4,0,0,1.05751754820812,0
259,3,"Loadings = ""Sparse""",4,0,0,0.79721115808934,0
260,3,"Loadings = ""Sparse""",4,0,0,1.24770359345712,0
261,3,"Loadings = ""Sparse""",4,0,0,0.967825924046338,0
262,3,"Loadings = ""Sparse""",4,0,0,1.02888088894542,0
263,3,"Loadings = ""Sparse""",4,0,0,1.08336043905001,0
264,3,"Loadings = ""Sparse""",4,0,0,0.876154708210379,0
265,3,"Loadings = ""Sparse""",4,0,0,0.909973805304617,0
266,3,"Loadings = ""Sparse""",4,0,0,1.18367182114162,0
267,3,"Loadings = ""Sparse""",4,0,0,1.21862234687433,0
268,3,"Loadings = ""Sparse""",4,0,0,1.00287698709872,0
269,3,"Loadings = ""Sparse""",4,0,0,1.08084607182536,0
270,3,"Loadings = ""Sparse""",4,0,0,1.02712039789185,0.168334015645087
271,3,"Loadings = ""Sparse""",4,0,0.151276582665741,1.01765442942269,0
272,3,"Loadings = ""Sparse""",4,0,0,0.929263944039121,0
273,3,"Loadings = ""Sparse""",4,0,0,0.860763484612107,0
274,3,"Loadings = ""Sparse""",4,0,0,1.10173545207363,0
275,3,"Loadings = ""Sparse""",4,0.277667028568685,0,0.940331059624441,0
276,3,"Loadings = ""Sparse""",4,0,0,0.858679598895833,0
277,3,"Loadings = ""Sparse""",4,0,0,1.10472940828186,0
278,3,"Loadings = ""Sparse""",4,0.219727309606969,0.219516607150435,0.940696622361429,0
279,3,"Loadings = ""Sparse""",4,0,0,1.20100332435686,0
280,3,"Loadings = ""Sparse""",4,0,0,1.2392866180744,0
281,3,"Loadings = ""Sparse""",4,0,0,0.75448237801902,0
282,3,"Loadings = ""Sparse""",4,0,0,0.836195091716945,0
283,3,"Loadings = ""Sparse""",4,0,0,0.917774330009706,0
284,3,"Loadings = ""Sparse""",4,0,0,0.95481501694303,0
285,3,"Loadings = ""Sparse""",4,0,0,0.846878208220005,0
286,3,"Loadings = ""Sparse""",4,0,0,1.09871204360388,0
287,3,"Loadings = ""Sparse""",4,0,0,0.765999777009711,0
288,3,"Loadings = ""Sparse""",4,0,0,1.19460099108983,0
289,3,"Loadings = ""Sparse""",4,0,0,1.19485417415854,0
290,3,"Loadings = ""Sparse""",4,0,0,1.1897237735102,0
291,3,"Loadings = ""Sparse""",4,0,0,1.20463431905955,0
292,3,"Loadings = ""Sparse""",4,0,0,1.17084743082523,0
293,3,"Loadings = ""Sparse""",4,0,0,1.16691735014319,0
294,3,"Loadings = ""Sparse""",4,0,0,0.924493434024043,0
295,3,"Loadings = ""Sparse""",4,0,0,0.844933805288747,0.240604091025889
296,3,"Loadings = ""Sparse""",4,0,0,1.0576476455899,0
297,3,"Loadings = ""Sparse""",4,0,0.151321694925427,0.807478241389617,0
298,3,"Loadings = ""Sparse""",4,0,0,1.18575132521801,0
299,3,"Loadings = ""Sparse""",4,0,0,1.16904630465433,0
300,3,"Loadings = ""Sparse""",4,0,0.232434150837362,0.764820961630903,0
301,3,"Loadings = ""Sparse""",4,0,0,1.02525392861571,0
302,3,"Loadings = ""Sparse""",4,0,0,1.1555911306059,0
303,3,"Loadings = ""Sparse""",4,0,0,1.04604922491126,0
304,3,"Loadings = ""Sparse""",4,0,0,1.07499001466203,0
305,3,"Loadings = ""Sparse""",4,0,0,1.0904634342296,0
306,3,"Loadings = ""Sparse""",4,0,0,1.17094504204579,0
307,3,"Loadings = ""Sparse""",4,0,0,0.914242043392733,0
308,3,"Loadings = ""Sparse""",4,0,0,1.17389680980705,0
309,3,"Loadings = ""Sparse""",4,0,0,1.10122833552305,0
310,3,"Loadings = ""Sparse""",4,0,0,1.03225835075136,0
311,3,"Loadings = ""Sparse""",4,0,0,0.77087670203764,0
312,3,"Loadings = ""Sparse""",4,0,0,0.798624302144162,0
313,3,"Loadings = ""Sparse""",4,0,0,0.80740018421784,0
314,3,"Loadings = ""Sparse""",4,0,0,0.840304489713162,0
315,3,"Loadings = ""Sparse""",4,0,0,0.777046572649851,0
316,3,"Loadings = ""Sparse""",4,0,0,0.80917192180641,0
317,3,"Loadings = ""Sparse""",4,0,0,0.784302612883039,0
318,3,"Loadings = ""Sparse""",4,0,0,1.12978333909996,0
319,3,"Loadings = ""Sparse""",4,0,0,0.76302088657394,0
320,3,"Loadings = ""Sparse""",4,0,0,1.15348315285519,0
321,3,"Loadings = ""Sparse""",4,0,0,0.780910471919924,0
322,3,"Loadings = ""Sparse""",4,0,0,1.07883322716225,0
323,3,"Loadings = ""Sparse""",4,0,0,1.00504870829172,0
324,3,"Loadings = ""Sparse""",4,0,0,0.811022819136269,0.19585463501513
325,3,"Loadings = ""Sparse""",4,0,0,0.861945094307885,0
326,3,"Loadings = ""Sparse""",4,0,0,1.21227726247162,0
327,3,"Loadings = ""Sparse""",4,0,0,0.790368377580307,0
328,3,"Loadings = ""Sparse""",4,0,0,0.832205495564267,0
329,3,"Loadings = ""Sparse""",4,0,0,0.863569749635644,0
330,3,"Loadings = ""Sparse""",4,0,0,1.16572798357811,0
331,3,"Loadings = ""Sparse""",4,0,0,1.22877026046626,0.209904540479183
332,3,"Loadings = ""Sparse""",4,0,0,0.804579484509304,0
333,3,"Loadings = ""Sparse""",4,0,0,1.19152152328752,0
334,3,"Loadings = ""Sparse""",4,0,0,1.10637001274154,0
335,3,"Loadings = ""Sparse""",4,0,0,0.879080829559825,0
336,3,"Loadings = ""Sparse""",4,0,0,1.22657704644371,0
337,3,"Loadings = ""Sparse""",4,0,0,0.96489021438174,0
338,3,"Loadings = ""Sparse""",4,0,0,0.931004452169873,0
339,3,"Loadings = ""Sparse""",4,0,0,0.984568610438146,0
340,3,"Loadings = ""Sparse""",4,0,0,1.03923849598505,0
341,3,"Loadings = ""Sparse""",4,0,0,1.02496218052693,0
342,3,"Loadings = ""Sparse""",4,0,0,0.953008294920437,0
343,3,"Loadings = ""Sparse""",4,0,0,0.958794333273545,0
344,3,"Loadings = ""Sparse""",4,0,0,1.18592892924789,0
345,3,"Loadings = ""Sparse""",4,0,0,0.78185384743847,0
346,3,"Loadings = ""Sparse""",4,0,0,1.1699508294696,0
347,3,"Loadings = ""Sparse""",4,0,0,0.80754345015157,0
348,3,"Loadings = ""Sparse""",4,0,0,1.08454310777597,0
349,3,"Loadings = ""Sparse""",4,0,0,1.00781648303382,0
350,3,"Loadings = ""Sparse""",4,0,0,1.03018832602538,0
351,3,"Loadings = ""Sparse""",4,0,0,0.956856057746336,0
352,3,"Loadings = ""Sparse""",4,0,0,0.766591896885075,0
353,3,"Loadings = ""Sparse""",4,0,0,0.795748923672363,0
354,3,"Loadings = ""Sparse""",4,0,0.194799680374563,0.787745721987449,0
355,3,"Loadings = ""Sparse""",4,0,0,1.18190787010826,0
356,3,"Loadings = ""Sparse""",4,0,0,1.20972433884162,0
357,3,"Loadings = ""Sparse""",4,0,0,0.851491433917545,0
358,3,"Loadings = ""Sparse""",4,0,0,0.831905917148106,0
359,3,"Loadings = ""Sparse""",4,0,0,0.990750688477419,0
360,3,"Loadings = ""Sparse""",4,0,0,1.07726147526409,0
361,3,"Loadings = ""Sparse""",4,0,0,1.10710970242508,0
362,3,"Loadings = ""Sparse""",4,0,0,1.04161133104935,0
363,3,"Loadings = ""Sparse""",4,0,0,1.23331355885603,0
364,3,"Loadings = ""Sparse""",4,0,0,1.23179023957346,0
365,3,"Loadings = ""Sparse""",4,0,0,1.04318906750996,0
366,3,"Loadings = ""Sparse""",4,0,0,0.844688859186135,0
367,3,"Loadings = ""Sparse""",4,0,0,1.19380783860106,0
368,3,"Loadings = ""Sparse""",4,0,0,0.911067681270652,0.215942806527019
369,3,"Loadings = ""Sparse""",4,0,0,0.83747588749975,0
370,3,"Loadings = ""Sparse""",4,0,0,0.961086961207911,0
371,3,"Loadings = ""Sparse""",4,0,0,1.08310299436562,0
372,3,"Loadings = ""Sparse""",4,0,0,1.11112994840369,0
373,3,"Loadings = ""Sparse""",4,0,0,1.12950484151952,0
374,3,"Loadings = ""Sparse""",4,0,0,1.08660420181695,0
375,3,"Loadings = ""Sparse""",4,0,0,0.846264561405405,0
376,4,"Loadings = ""Sparse""",4,0,0,0,1.07001140725333
377,4,"Loadings = ""Sparse""",4,0,0,0,1.05767037370242
378,4,"Loadings = ""Sparse""",4,0,0,0,1.1218826638069
379,4,"Loadings = ""Sparse""",4,0,0,0,0.787991665070876
380,4,"Loadings = ""Sparse""",4,0,0,0,0.776530071278103
381,4,"Loadings = ""Sparse""",4,0,0,0,1.16330015007406
382,4,"Loadings = ""Sparse""",4,0,0,0,0.781622128328308
383,4,"Loadings = ""Sparse""",4,0,0,0,0.833104998804629
384,4,"Loadings = ""Sparse""",4,0,0,0,1.0977625681553
385,4,"Loadings = ""Sparse""",4,0,0,0,1.14740261819679
386,4,"Loadings = ""Sparse""",4,0,0,0.170730655752122,0.977289842441678
387,4,"Loadings = ""Sparse""",4,0,0,0,0.881121406913735
388,4,"Loadings = ""Sparse""",4,0,0,0,0.890372128109448
389,4,"Loadings = ""Sparse""",4,0,0,0,0.845276371808723
390,4,"Loadings = ""Sparse""",4,0,0,0,1.15647795691621
391,4,"Loadings = ""Sparse""",4,0,0,0,1.09825850173365
392,4,"Loadings = ""Sparse""",4,0,0,0,0.820062637678348
393,4,"Loadings = ""Sparse""",4,0,0,0,1.182057772181
394,4,"Loadings = ""Sparse""",4,0,0,0,1.04621111578308
395,4,"Loadings = ""Sparse""",4,0,0,0,1.01951716735493
396,4,"Loadings = ""Sparse""",4,0,0,0,1.05630010133609
397,4,"Loadings = ""Sparse""",4,0,0,0,0.964620902203023
398,4,"Loadings = ""Sparse""",4,0,0,0,0.937399008660577
399,4,"Loadings = ""Sparse""",4,0,0,0,1.18884784111287
400,4,"Loadings = ""Sparse""",4,0,0,0,0.750847995048389
401,4,"Loadings = ""Sparse""",4,0,0,0,0.801548280869611
402,4,"Loadings = ""Sparse""",4,0,0,0,0.764484249870293
