"n","p","H","G","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
200,500,10,"3-3-3-3-3-3-3-3-3-3",0.140802076897615,0.0773281843011038,0.32591184173599,0.260158146999608,0.101860665677003,0.070472059025869,0.0437039927192708,10.47012
200,1000,10,"3-3-3-3-3-3-3-3-3-3",0.108345862406537,0.0712963842567757,0.321864104550483,0.266441684941487,0.081059632056097,0.0636803298680138,0.0365677005081389,14.39972
200,1500,10,"3-3-3-3-3-3-3-3-3-3",0.101018063698499,0.0696621296261941,0.323902279872885,0.275014411493293,0.0833614347988851,0.0696921169258271,0.0350001361585205,17.54172
200,2000,10,"3-3-3-3-3-3-3-3-3-3",0.104169230161324,0.0697485646522742,0.330721630177926,0.268098227040294,0.0762062662525057,0.0724222548150076,0.0335503889489119,20.7328
400,500,5,"2-2-2-2-2",0.130667419228256,0.0456865276101395,0.315628347679778,0.313843259740748,0.0456342669129887,0.0273872642914699,0.0230331757057693,17.54032
400,1000,5,"2-2-2-2-2",0.113022348543402,0.0416226430773458,0.316346322768233,0.313177285581949,0.0495576828398522,0.0314111760248716,0.0256783242807813,28.88864
400,1500,5,"2-2-2-2-2",0.123110406924789,0.0418360162749605,0.32985907137357,0.311334638298265,0.0436498995971433,0.0382300303968192,0.0222500626163195,36.78664
400,2000,5,"2-2-2-2-2",0.117360522548347,0.0410165567649133,0.331791692831514,0.320890964391173,0.0408525325150247,0.0363177345603719,0.0206317405699372,44.8784
400,500,5,"3-3-3-3-3",0.127796787882036,0.0492599373702655,0.326209906839761,0.229284447817121,0.0642332679806529,0.0208012728811836,0.0292724866999321,17.90512
400,1000,5,"3-3-3-3-3",0.107604355115947,0.0445883808110581,0.322172461527024,0.211700857142159,0.0578236077349189,0.0274650387731229,0.0233547069456815,29.73692
400,1500,5,"3-3-3-3-3",0.123005828325536,0.0442890789865658,0.334822143200733,0.256868622635504,0.075447239924691,0.0375876362116925,0.0268766471043484,37.46728
400,2000,5,"3-3-3-3-3",0.123193337331974,0.0437462665230809,0.339242195653546,0.261089300058545,0.0711523668324365,0.0361949110215122,0.0254142736123754,45.4414
400,500,10,"2-2-2-2-2-2-2-2-2-2",0.132667217022231,0.0631422313633308,0.287764027058483,0.256916322526063,0.0478654019444297,0.0193121641922719,0.0242665597413073,18.8464
400,1000,10,"2-2-2-2-2-2-2-2-2-2",0.115154729065809,0.0554341186353396,0.292915554893345,0.261689427246013,0.0555178323122452,0.0270660799313436,0.0295820596706065,31.941
400,1500,10,"2-2-2-2-2-2-2-2-2-2",0.0934751897516965,0.052736296965213,0.293842076461559,0.270437667258969,0.0485845763669545,0.0257203063130078,0.0256352350085758,40.731
400,2000,10,"2-2-2-2-2-2-2-2-2-2",0.0893496048688187,0.0519572199602588,0.300394185077628,0.262976094932231,0.0457449485046857,0.0289998450623707,0.0240338644426574,49.38452
400,500,10,"3-3-3-3-3-3-3-3-3-3",0.128259895191991,0.0659561662221269,0.284745324910915,0.212945675091688,0.0587626652100221,0.0186940903703868,0.0300693849856442,20.02572
400,1000,10,"3-3-3-3-3-3-3-3-3-3",0.102016347828571,0.0579812193427181,0.285370548445932,0.213090223864813,0.0561573356696422,0.0244454886659185,0.0255928698419652,33.43504
400,1500,10,"3-3-3-3-3-3-3-3-3-3",0.100670699240323,0.0551840057040755,0.289438390893045,0.218959452462304,0.0554710788747538,0.0323624612137308,0.0256834830896005,42.20496
400,2000,10,"3-3-3-3-3-3-3-3-3-3",0.0836575226719794,0.0543687455180831,0.292692184187774,0.206860508863128,0.0553478693463808,0.030989111751982,0.0257755218190659,51.70228
