"scenario","rep","n","p","H_true","G_true","G_config","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","loading_design","block_size_mode","loading_sign_mode","alignment_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","fix_dgp_parameters","dgp_parameter_seed","loading_parameter_seed","mixture_parameter_seed","data_seed","dgp_p_max","product_method","comparator_method","factor_score_rmse_product","factor_score_rmse_comparator","factor_score_rmse_product_minus_comparator","lambda_rmse_product","lambda_rmse_comparator","lambda_rmse_product_minus_comparator","alpha_rmse_product","alpha_rmse_comparator","alpha_rmse_product_minus_comparator","marginal_mu_rmse_product","marginal_mu_rmse_comparator","marginal_mu_rmse_product_minus_comparator","marginal_var_rmse_product","marginal_var_rmse_comparator","marginal_var_rmse_product_minus_comparator","marginal_weight_rmse_product","marginal_weight_rmse_comparator","marginal_weight_rmse_product_minus_comparator","seconds_product","seconds_comparator","seconds_product_minus_comparator"
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",10,100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29611731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.146521611986638,0.169681097762108,-0.02315948577547,0.452039405087843,0.35853982945494,0.093499575632903,0.368355356806429,0.398932983165752,-0.030577626359323,0.251711797201195,0.26183120943004,-0.010119412228845,0.222956231088111,0.315669656153007,-0.092713425064896,0.132847699122122,0.0865493128907098,0.0462983862314122,11.733,76.398,-64.665
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",10,200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29612731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.129988431202666,0.144016488440501,-0.014028057237835,0.318580957183206,0.27045527036548,0.048125686817726,0.291922401449973,0.309793653845133,-0.01787125239516,0.0775223693231379,0.244314591595287,-0.166792222272149,0.056785120586741,0.259861254463948,-0.203076133877207,0.042116629283988,0.0767661184875404,-0.0346494892035524,9.819,87.141,-77.322
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",10,100,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22361731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.136900712776713,0.160643797875291,-0.023743085098578,0.490957032178743,0.436005831472055,0.054951200706688,0.480497811739274,0.478312934055041,0.00218487768423298,0.117961675252429,0.116203596559818,0.00175807869261099,0.0617902769548859,0.0523212369437711,0.0094690400111148,0.0609491040092898,0.0612783091043055,-0.000329205095015696,4.237,46.816,-42.579
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G2-2-2-2-2_sep2",10,200,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22362731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.128126650895854,0.143147101307522,-0.015020450411668,0.353622750309701,0.327257667035752,0.026365083273949,0.336720874067116,0.32511819999344,0.011602674073676,0.037461062720007,0.0335357987936981,0.0039252639263089,0.021751440140688,0.0298161171349122,-0.0080646769942242,0.0185987240754639,0.0176311924446289,0.000967531630835,7.283,56.176,-48.893
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",10,100,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23111731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.15111411109741,0.172877333046674,-0.021763221949264,0.507201229325337,0.383347064175717,0.12385416514962,0.262972594403211,0.277721476823873,-0.014748882420662,0.283409092764642,0.250145033740158,0.033264059024484,0.265635503929924,0.270182861395077,-0.004547357465153,0.103442191333252,0.10083548824639,0.00260670308686199,5.645,47.681,-42.036
"rep10_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G3-3-3-3-3_sep2",10,200,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23112731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.132428664631855,0.156792331080106,-0.024363666448251,0.369460138963083,0.276755760195649,0.092704378767434,0.219391826741497,0.244186275266277,-0.02479444852478,0.0602267575521198,0.239770447148291,-0.179543689596171,0.0575162498842353,0.21929765225703,-0.161781402372795,0.024576204169731,0.0820324310210454,-0.0574562268513144,7.615,57.181,-49.566
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",11,100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26871731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.134405883414582,0.151205054897359,-0.016799171482777,0.452038513873399,0.404815881876904,0.047222631996495,0.386239520279999,0.373538121692401,0.012701398587598,0.0976818074209725,0.0958009712414917,0.0018808361794808,0.0542128721825759,0.0641009223552402,-0.0098880501726643,0.0508558892078333,0.0499189413620549,0.000936947845778399,4.562,75.681,-71.119
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",11,200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26872731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.143309105068621,0.153153396421244,-0.00984429135262302,0.332592336138897,0.310002626773639,0.022589709365258,0.2836154717011,0.273758169724703,0.009857301976397,0.0629370584354387,0.0616858741456921,0.0012511842897466,0.0302499060996136,0.0424900979837335,-0.0122401918841199,0.0327543814632867,0.0322606528099382,0.000493728653348499,8.018,87.842,-79.824
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",11,100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29621731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.142576699108123,0.167898025159351,-0.025321326051228,0.450640910773071,0.348087024665608,0.102553886107463,0.386318485500505,0.399261422698816,-0.012942937198311,0.237228663523545,0.257225923135673,-0.019997259612128,0.225485398418503,0.304177560474527,-0.078692162056024,0.138891752208254,0.0853119465953458,0.0535798056129082,12.884,77.279,-64.395
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",11,200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29622731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.134405832908597,0.150312804583272,-0.015906971674675,0.326844680755985,0.273343412684247,0.053501268071738,0.290963008551107,0.296395949591479,-0.00543294104037201,0.0942589211076711,0.24376035551056,-0.149501434402889,0.0594684729747346,0.265205905992898,-0.205737433018163,0.0371670065103551,0.0696280799519304,-0.0324610734415753,9.222,87.75,-78.528
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",11,100,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22371731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.129854025692381,0.15344835642246,-0.023594330730079,0.493780848437357,0.436734026480865,0.057046821956492,0.434461350556885,0.421842463220726,0.012618887336159,0.0888186982022547,0.0858482905273393,0.0029704076749154,0.0506097065397652,0.0459693796427431,0.0046403268970221,0.045738852826356,0.0453882528201908,0.0003506000061652,4.275,46.69,-42.415
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G2-2-2-2-2_sep2",11,200,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22372731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.131282285940272,0.145942289801734,-0.014660003861462,0.359348971549687,0.333984776600014,0.025364194949673,0.423540992076425,0.417997873429908,0.00554311864651696,0.0693844653696432,0.0655265994307441,0.0038578659388991,0.0310674504226407,0.038407286636138,-0.0073398362134973,0.0354735714117343,0.0343775832864282,0.0010959881253061,7.325,55.671,-48.346
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",11,100,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23121731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.153905046281897,0.172804445585861,-0.018899399303964,0.497611533714577,0.357345085927214,0.140266447787363,0.323720476278326,0.323396170689753,0.000324305588572993,0.345641481580881,0.249237157732692,0.096404323848189,0.246361894927834,0.264211602169863,-0.017849707242029,0.104013288281423,0.0944356477804725,0.0095776405009505,5.497,46.802,-41.305
"rep11_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G3-3-3-3-3_sep2",11,200,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23122731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.136399279848779,0.156660289046633,-0.020261009197854,0.367365344846976,0.290394316824161,0.076971028022815,0.228868673380268,0.245233398267978,-0.01636472488771,0.0912714472900461,0.20483272608942,-0.113561278799374,0.0612835132703971,0.17551532979298,-0.114231816522583,0.0392456059188324,0.0901602233619914,-0.050914617443159,8.294,55.935,-47.641
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",12,100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26881731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.149001489688401,0.162500555718162,-0.013499066029761,0.453209297364663,0.402918699114123,0.05029059825054,0.518802519267415,0.518621120476858,0.000181398790557008,0.138568610298383,0.132360463613566,0.00620814668481701,0.0532599317440852,0.0616340320770535,-0.0083741003329683,0.0699355599481727,0.0686209045097894,0.0013146554383833,4.741,75.449,-70.708
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",12,200,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26882731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.138886016406683,0.147236076788032,-0.008350060381349,0.322055981451506,0.300416974966243,0.021639006485263,0.265217366682909,0.261633726339903,0.00358364034300601,0.0637910029223857,0.0623527589161343,0.00143824400625139,0.0287511913785226,0.0401391424734818,-0.0113879510949592,0.033147360814056,0.0322942210212584,0.000853139792797594,7.85,87.05,-79.2
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",12,100,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29631731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.140007829973311,0.160736433890278,-0.020728603916967,0.445300521415554,0.347193939905185,0.098106581510369,0.341814431628568,0.35685314424381,-0.015038712615242,0.292012016122892,0.251873509022078,0.040138507100814,0.254061156759567,0.292168555412907,-0.03810739865334,0.161149199907347,0.0906541576295993,0.0704950422777477,12.567,76.911,-64.344
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H10_G3-3-3-3-3-3-3-3-3-3_sep2",12,200,500,10,"3-3-3-3-3-3-3-3-3-3","3-3-3-3-3-3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,29512731,21272531,29512731,29632731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.134335828320063,0.149044591969586,-0.014708763649523,0.320735800067586,0.259275230635749,0.061460569431837,0.219401373719219,0.230325981721757,-0.010924608002538,0.155013236634289,0.269568800108482,-0.114555563474193,0.107549724183045,0.263493848544607,-0.155944124361562,0.106613221761663,0.104458075459182,0.00215514630248101,9.244,88.237,-78.993
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G2-2-2-2-2_sep2",12,100,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22381731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.147567533456945,0.175678120513259,-0.028110587056314,0.500585454092483,0.445889902724757,0.054695551367726,0.437363363731063,0.4151231738717,0.022240189859363,0.077538014539235,0.074579798476811,0.00295821606242401,0.0550402598409149,0.0549187489008164,0.000121510940098504,0.0403257288564551,0.0389889962389498,0.0013367326175053,4.357,46.999,-42.642
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G2-2-2-2-2_sep2",12,200,500,5,"2-2-2-2-2","2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,22262731,20772531,22262731,22382731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.128636216074533,0.142564964328084,-0.013928748253551,0.355454190924315,0.331978941155389,0.023475249768926,0.33107578047219,0.32867277024979,0.00240301022239997,0.067257639256811,0.0676036680980191,-0.000346028841208101,0.0385342469136434,0.038057981048535,0.000476265865108398,0.0346323265382337,0.0352715506891103,-0.000639224150876604,7.395,55.814,-48.419
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H5_G3-3-3-3-3_sep2",12,100,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23131731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.135938697898272,0.166959823179715,-0.031021125281443,0.497952947017812,0.32977944055511,0.168173506462702,0.360312713721075,0.366081822954834,-0.00576910923375901,0.29093718624188,0.241708708038118,0.049228478203762,0.279219897655087,0.258557271428194,0.020662626226893,0.167789334864427,0.0892704204777642,0.0785189143866628,4.191,46.763,-42.572
"rep12_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n200_p500_H5_G3-3-3-3-3_sep2",12,200,500,5,"3-3-3-3-3","3-3-3-3-3",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,23012731,20772531,23012731,23132731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.129909511190835,0.154685599987816,-0.024776088796981,0.356630610766665,0.268722576259646,0.087908034507019,0.233891878239847,0.248302507086162,-0.014410628846315,0.0693875217683882,0.223598218148599,-0.154210696380211,0.0579039036279548,0.206881909876691,-0.148978006248736,0.0394845926781308,0.0894278722552835,-0.0499432795771527,8.188,55.99,-47.802
"rep13_balanced_moderate_dense_signed_cross_strong_cp0_05_ifeval_min30_n100_p500_H10_G2-2-2-2-2-2-2-2-2-2_sep2",13,100,500,10,"2-2-2-2-2-2-2-2-2-2","2-2-2-2-2-2-2-2-2-2",2,"viroli_smoke","unequal","ifeval_like","balanced_moderate_dense_signed_cross","ifeval_min30","block","loadings","strong",2,3,2,3,0.05,"random",TRUE,26762731,21272531,26762731,26891731,2000,"independent_marginal_mixture","viroli_laplace_gibbs",0.143260655511038,0.15837067185566,-0.015110016344622,0.45253002206687,0.40452723527246,0.04800278679441,0.351312915264202,0.340637439306162,0.01067547595804,0.0832653121910556,0.0833910989115593,-0.000125786720503701,0.0555975764999726,0.0659329702442933,-0.0103353937443207,0.0431962952150002,0.0427136039829214,0.000482691232078801,4.638,75.867,-71.229
