"model_name","n_ifeval_observed_items_before_filter","n_ifeval_items_after_filter","mean_correct_ifeval_after_filter"
"grok-3-mini-beta",541,538,0.944237918215613
"grok-4-0709",541,538,0.938661710037175
"kimi-k2-instruct",541,538,0.827137546468402
"llama-2-13b-hf",541,538,0.178438661710037
"llama-2-70b-hf",541,538,0.232342007434944
"llama-2-7b-hf",541,538,0.226765799256506
"llama-3.1-405b-instruct-turbo",541,538,0.778810408921933
"llama-3.1-70b-instruct-turbo",541,538,0.788104089219331
"llama-3.1-8b-instruct-turbo",541,538,0.689591078066915
"llama-4-maverick-17b-128e-instruct-fp8",541,538,0.894052044609665
"llama-4-scout-17b-16e-instruct",541,538,0.784386617100372
"marin-8b-instruct",541,538,0.559479553903346
"mistral-7b-instruct-v0.3",541,538,0.494423791821561
"mistral-7b-v0.1",541,538,0.198884758364312
"mistral-large-2411",541,538,0.851301115241636
"mistral-small-2503",541,538,0.698884758364312
"mixtral-8x22b-instruct-v0.1",541,538,0.678438661710037
"mixtral-8x7b-instruct-v0.1",541,538,0.494423791821561
"nova-lite-v1:0",541,538,0.734200743494424
"nova-micro-v1:0",541,538,0.71003717472119
"nova-premier-v1:0",541,538,0.762081784386617
"nova-pro-v1:0",541,538,0.782527881040892
"o3-2025-04-16",541,538,0.843866171003718
"o4-mini-2025-04-16",541,538,0.912639405204461
"olmo-2-0325-32b-instruct",541,538,0.747211895910781
"olmo-2-1124-13b-instruct",541,538,0.680297397769517
"olmo-2-1124-7b-instruct",541,538,0.633828996282528
"olmoe-1b-7b-0125-instruct",541,538,0.559479553903346
"palmyra-fin",541,538,0.747211895910781
"palmyra-med",541,538,0.717472118959108
"palmyra-x-004",541,538,0.845724907063197
"palmyra-x5",541,538,0.788104089219331
"qwen-1.5-0.5b-chat",541,538,0.12453531598513
"qwen-1.5-1.8b-chat",541,538,0.152416356877323
"qwen-1.5-14b-chat",541,538,0.366171003717472
"qwen-1.5-32b-chat",541,538,0.45910780669145
"qwen-1.5-4b-chat",541,538,0.234200743494424
"qwen-1.5-7b-chat",541,538,0.325278810408922
"qwen-14b-chat",541,538,0.325278810408922
"qwen-2-1.5b-instruct",541,538,0.271375464684015
"qwen-2-72b-instruct",541,538,0.784386617100372
"qwen-2-7b-instruct",541,538,0.565055762081784
"qwen-2.5-0.5b-instruct",541,538,0.265799256505576
"qwen-2.5-1.5b-instruct",541,538,0.449814126394052
"qwen-2.5-14b-instruct",541,538,0.828996282527881
"qwen-2.5-32b-instruct",541,538,0.823420074349442
"qwen-2.5-3b-instruct",541,538,0.631970260223048
"qwen-2.5-72b-instruct",541,538,0.87360594795539
"qwen-2.5-7b-instruct",541,538,0.743494423791822
"qwen-3-30b-instruct",541,538,0.78996282527881
"qwen-3-4b-instruct",541,538,0.843866171003718
"qwen-3-80b-instruct",541,538,0.897769516728624
"qwen-7b-chat",541,538,0.213754646840149
"qwen-8b-chat",541,538,0.131970260223048
"qwen2.5-72b-instruct-turbo",541,538,0.769516728624535
"qwen2.5-7b-instruct-turbo",541,538,0.693308550185874
"qwen3-235b-a22b-fp8-tput",541,538,0.784386617100372
"qwen3-235b-a22b-instruct-2507-fp8",541,538,0.799256505576208
"qwen3-next-80b-a3b-thinking",541,538,0.773234200743494
"redpajama-incite-3b-chat",541,538,0.120817843866171
"redpajama-incite-3b-instruct",541,538,0.169144981412639
"redpajama-incite-7b-chat",541,538,0.107806691449814
"redpajama-incite-7b-instruct",541,538,0.163568773234201
