"item","block","H","p","p_master","loading_seed","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
47,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.71451654075645,0,0,0,0,0,0,0,0,0
48,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.40234982664697,0,0,0,0,0,0,0,0,0
49,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.07511230860837,0,0,0,0,0,0,0,0,0
50,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.12327041313984,0,0,0,0,0,0,0,0,0
51,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.0494864389766,0,0,0,0,0,0,0,0,0
52,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.12230113032274,0,0,0,0,0,0,0,0,0
53,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.61086880485527,0,0,0,0,0,0,0,0,0
54,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.89836442819797,0,0,0,0,0,0,0,0,0
55,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.90826615411788,0,0,0,0,0,0,0,0,0
56,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.79101987602189,0,0,-2.72573652048595,0,0,0,0,0,0
57,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.47703788802028,0,0,0,0,0,0,0,0,0
58,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.79139874945395,0,-2.23075638175942,0,0,0,0,0,0,0
59,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.86304188007489,0,0,0,0,0,0,0,0,0
60,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.17268644133583,0,0,0,0,0,0,0,0,0
61,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.75946327717975,0,0,0,0,0,0,0,0,0
62,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.66026931745,0,0,0,0,0,0,0,0,0
63,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84073102311231,0,0,0,0,0,0,0,0,0
64,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.76317198388278,0,0,0,0,0,0,0,0,0
65,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.86959250015207,0,0,0,0,0,0,0,0,0
66,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.43278469028883,0,0,0,2.15972100291401,0,0,0,0,0
67,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.69389048754238,0,0,0,0,0,-2.91281415242702,0,0,0
68,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.10027159261517,0,0,0,0,0,0,0,0,0
69,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.07357054087333,0,2.0729015825782,0,0,0,0,0,0,0
70,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.34894632501528,0,0,0,0,0,0,0,0,-2.50784761295654
71,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.09353768173605,0,0,0,0,0,0,0,0,0
72,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.73371286108159,0,0,0,0,0,0,0,0,0
73,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.40429091127589,0,0,0,0,0,0,0,0,0
74,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.11688109929673,0,0,0,0,0,0,0,0,0
75,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.83508003503084,-2.8528974908404,0,0,0,2.39299407531507,0,0,0,0
76,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.4374132391531,0,0,0,0,0,0,0,0,0
77,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.81705067236908,0,0,0,0,0,0,2.9284045973327,0,0
78,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.47872553346679,0,0,0,0,0,0,0,0,0
79,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.45630988990888,0,2.083167726174,0,0,0,0,0,0,0
80,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.74168034968898,0,0,0,0,0,0,-2.86210788902827,0,0
81,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.45877591730095,0,0,0,2.4980081806425,0,0,0,0,0
82,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84183431183919,0,0,0,0,0,0,0,0,0
83,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.25608577975072,0,0,0,0,0,0,0,0,0
84,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.73557335278019,0,0,0,0,-2.98287259112112,0,0,0,0
85,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.61536670895293,0,0,0,0,0,0,0,0,0
86,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.83140856307,0,0,0,0,0,0,0,0,0
87,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.5074099781923,0,0,0,0,0,0,0,0,0
88,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.58296852139756,0,0,2.56446775607765,0,-2.16580100287683,0,0,0,0
89,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.03133589425124,0,0,0,0,0,0,0,0,0
90,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.81000337586738,2.23225053399801,0,0,0,0,0,0,0,0
91,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.79203566466458,0,0,0,0,0,0,0,0,0
92,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.96574791520834,0,0,-2.45102740032598,0,0,0,0,0,0
93,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.36454358557239,0,0,0,0,0,0,0,0,2.60440275026485
94,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.22491966909729,0,0,0,0,0,0,0,0,0
95,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.13083749264479,0,0,0,0,0,0,0,0,0
96,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.08930005226284,0,2.1835097190924,0,0,0,0,0,0,-2.67563800606877
97,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.19883099431172,0,0,0,0,0,0,0,0,0
98,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.2990953437984,0,0,0,0,0,0,0,0,0
99,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.42731958278455,0,0,0,0,-2.18288352247328,0,0,0,0
100,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.90207057516091,0,0,0,0,0,0,0,0,0
101,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.03828422725201,0,0,0,0,0,0,2.85277616884559,0,0
102,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.86721565015614,0,0,0,0,0,0,0,0,0
103,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.54980542534031,0,0,0,0,0,0,0,0,0
104,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.879083072301,0,0,-2.83946275361814,0,0,0,0,0,0
105,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.73090297891758,0,0,0,0,0,0,0,0,0
106,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.89682575548068,0,0,0,0,0,0,0,0,0
107,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.8012331451755,0,0,0,0,0,0,2.21638404903933,0,0
108,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.0559517967049,0,0,0,0,0,0,0,0,0
109,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.32781955902465,0,0,0,0,0,0,0,0,0
110,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.71813993528485,0,0,0,0,0,2.86972379311919,0,0,0
111,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.24529774510302,0,-2.36190158571117,0,0,0,0,0,0,0
112,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.70749274431728,0,0,0,0,-2.83635347895324,0,0,0,0
113,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.47224745643325,0,0,0,0,0,2.39885179768316,0,0,0
114,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.31636821548454,0,0,0,2.38753415038809,0,0,2.00514426035807,2.99058421351947,0
115,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.99525353894569,0,0,0,0,0,0,0,0,0
116,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84723011776805,0,0,0,0,0,0,0,0,0
117,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.3262856383808,0,0,0,0,0,0,0,0,0
118,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.54663982079364,0,2.22158720204607,0,0,0,0,0,2.32133456203155,0
119,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.73098782380112,0,0,0,0,0,0,0,0,0
120,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.54885193123482,0,0,0,0,0,0,0,0,0
121,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.98418649588712,0,0,0,0,0,0,0,0,0
122,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.73333879071288,0,0,0,0,0,0,0,-2.8375619079452,0
123,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.60069305030629,0,0,0,0,0,0,0,0,-2.22191147110425
124,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.55952113121748,0,0,0,0,0,0,0,0,0
125,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.86625702329911,0,0,0,0,0,0,0,0,0
126,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.17841142439283,0,0,0,0,0,0,0,0,0
127,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.24760304717347,0,0,0,0,0,0,0,0,0
128,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.06741260760464,0,0,0,0,0,0,0,0,0
129,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.10085137817077,0,0,0,0,0,0,0,0,0
130,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.72194754891098,0,0,0,0,-2.32478585327044,0,0,0,0
131,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.98513295711018,0,0,0,0,0,0,0,0,0
132,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.91068067634478,0,0,0,0,0,0,0,0,0
133,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.76332369749434,0,0,0,-2.37655951082706,0,0,-2.33004613197409,0,-2.30169994337484
134,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.97641896572895,0,0,0,0,2.95095430221409,0,0,0,0
135,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.46128088980913,0,0,0,0,0,0,0,0,0
136,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.21215195744298,0,0,0,0,0,0,0,0,0
137,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.85647274460644,0,0,0,-2.9984381236136,0,0,0,0,0
138,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.22112361108884,0,0,0,0,0,0,0,0,0
139,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.80083743762225,0,0,0,0,0,0,0,0,0
140,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.15930565423332,0,0,0,0,0,0,0,0,0
141,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.80198296392336,0,0,0,0,0,0,0,2.65136482077651,0
142,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.91878293431364,0,0,0,0,0,0,0,0,0
143,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.09806798701175,0,0,0,0,0,0,0,0,0
144,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84622118505649,2.93113016849384,0,0,0,0,0,0,0,2.98118847608566
145,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.3299332393799,0,0,0,0,0,0,0,0,0
146,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.55858865543269,0,0,0,2.15700423624367,0,0,0,2.40904500172473,0
147,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.57144699501805,0,0,0,2.88610082748346,0,0,0,0,0
148,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.17956617684104,0,0,0,0,0,0,0,0,0
149,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.09460147703066,0,0,0,0,0,0,0,0,0
150,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.43369892681949,0,0,0,0,0,0,0,0,0
151,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.6816521033179,0,0,0,0,0,0,0,0,0
152,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.86465787538327,0,0,0,0,0,0,0,0,0
153,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.03322374355048,0,0,0,0,0,0,0,0,0
154,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.49902865244076,0,0,0,0,0,0,0,0,0
155,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.65520911337808,0,0,0,0,0,0,0,0,0
156,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.30138159147464,-2.52896309131756,0,0,0,0,0,0,0,0
157,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.8037364189513,0,0,0,0,0,0,0,0,0
158,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.27305364259519,0,0,0,0,0,0,0,0,0
159,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.64329259796068,0,0,0,0,0,0,0,0,0
160,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.26165427523665,0,0,0,0,0,0,0,0,0
161,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.61261684936471,0,0,0,0,0,0,0,0,0
162,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.68459259090014,0,0,0,0,0,0,0,0,0
163,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.62030829442665,0,0,0,0,0,0,0,0,0
164,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.98680576519109,0,-2.99649083567783,0,0,0,0,0,0,0
165,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.39848845847882,0,0,2.05979658290744,0,0,0,0,0,0
166,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84082145686261,0,0,0,0,2.86745061608963,0,0,0,0
167,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.11434552096762,0,2.08226874796674,-2.60902473749593,0,0,0,0,0,0
168,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.62039754563011,0,0,0,0,0,0,0,0,0
169,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.3850960182026,0,0,0,0,0,0,0,0,0
170,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.80577181116678,2.91878927731887,0,0,0,0,0,0,0,0
171,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.34506514412351,0,0,0,0,0,0,0,0,0
172,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.20748430932872,0,0,0,0,0,0,0,0,0
173,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.60217846184969,0,0,0,0,2.57404379639775,0,-2.29767717770301,0,0
174,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.1423756936565,0,0,0,0,0,2.37480837595649,-2.0143003272824,0,0
175,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.97394664748572,0,0,0,0,0,0,0,0,0
176,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.03349044988863,0,0,0,0,0,0,0,0,0
177,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.09215444000438,0,0,2.81681391270831,0,0,0,0,0,0
178,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.98493109992705,0,0,0,0,0,0,0,0,0
179,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.70672838110477,0,0,0,0,0,0,0,0,0
180,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.52908746572211,0,2.23467338341288,0,0,0,0,0,0,0
181,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.2639186331071,0,0,0,0,0,0,0,0,0
182,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84824542491697,0,0,0,0,0,0,0,0,0
183,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.67683501425199,0,0,0,0,0,0,0,2.01639075251296,0
184,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.9612418175675,0,0,0,0,0,0,0,0,0
185,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.72372924536467,0,0,0,0,0,0,0,0,0
186,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.55605530901812,0,-2.77630586293526,2.94748084363528,0,2.78171747666784,0,0,0,0
187,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.28172237682156,0,0,0,0,0,0,0,0,0
188,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.39810708770528,-2.63935535494238,0,-2.04427304025739,0,0,0,0,0,0
189,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.89173160935752,0,0,0,0,0,0,0,0,0
190,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.01938872085884,0,-2.20576224219985,0,2.85397707438096,0,-2.66096093505621,0,0,0
191,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.89544940833002,0,0,0,-2.55176354688592,-2.08748796163127,2.30565602169372,0,0,0
192,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.68960775830783,0,0,0,0,0,0,0,0,0
193,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.67825315054506,0,-2.15204254770651,0,0,0,0,0,0,0
194,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.06594112934545,0,0,0,-2.93985692691058,0,0,0,0,0
195,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.55105889355764,0,0,0,0,0,0,0,0,0
196,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.72654323745519,0,0,0,0,0,0,0,0,0
197,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.64175294153392,0,0,0,0,0,0,0,0,0
198,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.97373939584941,0,0,0,0,0,-2.94799093040638,0,0,0
199,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.72038129973225,0,0,0,0,0,0,0,0,2.73603301378898
200,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.49215111602098,0,0,0,0,0,0,2.13275510934182,0,0
201,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.84600422903895,0,2.37705843779258,0,0,0,0,0,0,0
202,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.2359933257103,0,0,0,-2.29158439370804,0,-2.45794262527488,0,0,0
203,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.69740893528797,0,0,0,0,0,0,0,0,0
204,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.12115491880104,0,0,0,0,0,0,0,0,0
205,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.65915073850192,0,0,0,0,0,0,0,0,0
206,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.17648963723332,0,0,0,0,0,0,0,0,0
207,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.23710960219614,0,0,0,0,0,0,0,0,0
208,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.2048893191386,0,0,0,0,0,0,0,0,0
209,1,10,2000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.54924226296134,0,0,0,0,0,0,0,0,0
